Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
W912DQ06C0040,236220,2006-07-18,2100,N054,Southwest,EDNNBUX9J6E1,15763081,1,140019,Restricted,1
W5K9UR11C7009,236220,2011-05-09,2100,Z111,Southeast,NN2NGPDNCK23,481566,1,208965,Open,1
N6247311C2018,236220,2011-09-27,1700,Y129,West,M3QLBG9YBT66,186888,0,0,Open,""
VA262C0165,236220,2007-09-19,3600,Z141,West,NTMVJJJFLAN4,1700000,1,31869,Restricted,1
140P4519C0027,236220,2019-09-19,1443,Z2QA,Northeast,V5MSQAJAH5P5,245402,0,0,Restricted,1
W9126G10C0068,236220,2010-06-21,2100,Z300,Southwest,QUAPL8N5K9J5,3409540,1,30762,Restricted,1
GS11P06ZGC0018,236220,2005-11-15,4740,Y111,Southeast,XNMMPUNJRJD8,110000,0,0,Restricted,1
W911N208C0098,236220,2008-07-15,2100,Z224,Southwest,FGSYH6ZUAEL7,441307,0,0,Open,4
N3654A08C4003,236220,2008-03-30,1700,C119,Southeast,LN9PU5M2YZN5,334397,0,0,Open,""
W912DR09C0049,236220,2009-08-07,2100,Y199,Northeast,LVCTL5FMXDX3,13394981,31,12250057,Open,2
N6247311C0605,236220,2011-01-13,1700,Z199,West,C1ARGV4ED3B3,1383105,4,73427,Open,""
VA263C0936,236220,2010-03-24,3600,Z141,Midwest,NJFASMLTSRR5,31531,1,872,Restricted,1
W91B4P12C0036,236220,2012-06-15,2100,Y1FF,Southeast,LN9PU5M2YZN5,72413,1,72413,Open,1
INP14PC00533,236220,2014-09-17,1443,Y1AZ,West,Y5MKPBH47154,4400000,2,250000,Restricted,1
N6871103C1562,236220,2003-09-29,1700,Y119,West,YM9HBU2Y3T29,359745,5,66420,Open,""
70B01C19C00000159,236220,2019-09-30,7014,Z1FF,West,DEZJJRF8KHH3,71887,0,0,Open,1
W912DY13C0031,236220,2013-09-23,2100,Z2DA,Southeast,C1CCESCMJUY1,729461,0,0,Restricted,1
W9123820C0011,236220,2020-06-12,2100,Y1AZ,Midwest,DMFWBVTL9324,22955000,11,1541806,Open,3
75N99024C00003,236220,2024-02-27,7529,Y1JZ,West,Z9DQA5BELSB3,766490,0,0,Restricted,1
IND0407CT66279,236220,2006-10-10,1406,Y199,West,VNLGMND2JY13,0,2,105710,Restricted,1
AG82X9C060294,236220,2006-09-14,12C2,Y199,West,EBLZC9M6WVE5,524119,1,1901,Open,7
140P2118C0019,236220,2018-07-11,1443,Z2JZ,Southeast,CYWEA6PLVJ68,858793,4,1861986,Restricted,1
