Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
INICBK66060004,236220,2005-08-15,1450,Z166,Southwest,NNZJEE52YDS3,161043,1,161043,Restricted,1
VA241C2287,236220,2011-05-18,3600,Z141,Northeast,XSLTUH41MCE3,191045,0,0,Open,5
47PD1018C0021,236220,2018-07-11,4740,Z2AA,Northeast,D4D1LCJPNZJ9,11075,0,0,Restricted,1
W91JA411C7095,236220,2011-03-05,2100,Y199,Southeast,NN2NGPDNCK23,29255,2,0,Open,1
47PE0219C0024,236220,2019-07-26,4740,Z2AA,Southeast,MDFNAY5HUNA6,1697816,9,2115860,Restricted,1
DOCSB134112CN0132,236220,2012-09-24,1341,Y1JZ,West,M3EFASR74Y88,26720,5,40193,Restricted,1
47PK1519C0014,236220,2019-03-13,4740,Z2AA,West,V79BMWJ66XC6,22766,0,0,Open,1
GS11P04YTC0060,236220,2004-03-02,4740,Z111,Southeast,NGK8UPRGE9B1,1388979,0,0,Open,1
N6945014C5333,236220,2014-09-30,1700,Z2JZ,Southeast,V23MRSK6DM84,1411492,2,339,Open,""
W912SR18C0007,236220,2018-08-01,2100,Z2CA,Southeast,LN9PU5M2YZN5,245869,0,0,Open,3
DOLJ099629008,236220,2009-06-30,1605,Y119,Midwest,HE4MD89DL5M7,23077000,10,1795634,Open,9
75N99020C00064,236220,2020-09-23,7529,Y1JZ,Southeast,H94HHBGP67D8,1050000,7,56649,Restricted,1
VA26312C0201,236220,2012-06-29,3600,Z2DA,Midwest,DFGXFLY7UM41,586178,2,8384,Open,4
VA24613C0080,236220,2013-06-25,3600,Z1DA,Southeast,X7A3RGSE1826,2870667,11,0,Open,12
1605AE20C0010,236220,2020-06-24,1605,Y1JZ,Southeast,Y9FRK3A8ZNE7,955921,11,2716265,Open,4
N6247306C6560,236220,2006-09-21,1700,Z111,West,HNFPFN7KV558,351578,0,0,Open,""
W91B4P10C0091,236220,2010-09-19,2100,Y163,Southeast,LN9PU5M2YZN5,498883,1,44000,Open,1
GS11P09YEC0158,236220,2009-06-11,4740,Z111,Southeast,PDV2N4LME4G4,3943,1,3705,Restricted,1
GS03P17QKC0002,236220,2017-02-06,4740,Z2AA,Southeast,XEQ3L57D2J24,16137,1,0,Restricted,1
36C24620C0023,236220,2020-01-10,3600,Y1DB,Northeast,XSLTUH41MCE3,9990400,8,416354,Open,2
GS11P12YTP0307,236220,2012-09-20,4740,Z2AA,Southeast,JT38L2GHNN23,6411,0,0,Open,1
140P5319C0011,236220,2019-05-13,1443,Z1PA,Southeast,VYKVXUNBCEU4,170225,1,0,Restricted,1
W912DR08C0088,236220,2008-09-30,2100,Z163,Southeast,X21JJ4JL8DX7,7604000,15,3693882,Open,6
W912QR11C0054,236220,2011-09-28,2100,Y199,West,M3EFASR74Y88,226792,3,22705,Open,1
W90YVD10C7029,236220,2010-05-01,2100,Y199,Southeast,LN9PU5M2YZN5,553281,1,553281,Open,1
VA262C0575,236220,2009-08-07,3600,Z141,West,JX8HZ5S2L396,1799741,4,121632,Open,11
VA263RA0930,236220,2010-03-24,3600,Y141,Midwest,P3CTJ2KMB3J8,492316,5,35155,Open,6
VA263RA0931,236220,2010-03-17,3600,Y141,Midwest,RXEPWJFCKJD1,359100,1,995,Open,6
FA283514C0042,236220,2014-09-26,5700,S216,Northeast,HZVHT9LKS969,592931,4,110405,Open,""
GS11P17YTC0007,236220,2016-12-01,4740,Z1AA,Southeast,LNJVHC65A8F7,249697,1,0,Restricted,1
W9124720C0014,236220,2020-06-18,2100,Y1JZ,Southeast,NM6RRBJBQ1X8,253043,1,0,Open,1
36C24120C0051,236220,2020-09-25,3600,Z2DA,Northeast,CXK4W1G8G7T5,13127700,48,5064996,Open,4
W912BV19C0015,236220,2019-08-29,2100,Y1BZ,Midwest,X3BYPXNZN8N1,63921812,22,1662632,Open,4
TMHQ10C0075,236220,2010-09-29,2044,Z300,West,LNALBLK1WSB1,931821,17,989340,Open,5
4283200308D504283315,236220,2003-08-15,12C2,Y199,Southeast,EBQ5BE8KB6T3,2863800,5,46968,Open,6
N4008013C2075,236220,2013-09-09,1700,Y1AA,Southeast,CP4NW4REPH28,1023806,4,0,Open,""
2032H323C00034,236220,2023-09-05,2001,Z2AA,Southeast,NNEVE1A97JS3,2246007,1,221923,Restricted,1
GS09P13WJC0025,236220,2013-08-28,4740,Z2AA,West,GQTYLX3AFN63,93984,2,5037,Open,1
W90YVD10C2012,236220,2010-07-03,2100,Y163,Southeast,LN9PU5M2YZN5,334254,1,334254,Open,1
VA26014C0030,236220,2014-08-12,3600,Y1DZ,West,P6DPZGK43LP9,8316639,18,1410087,Open,2
GS09P15KSC7006,236220,2015-08-12,4740,C219,Midwest,JBNZZ87KNTZ8,940785,9,1110781,Restricted,1
N6945020C0049,236220,2020-07-31,1700,Z2CZ,Southeast,HUZ2XKV2KLS5,1045860,0,0,Open,""
W912C322C0005,236220,2022-09-28,2100,Z2AZ,Southeast,L76ZSHNB61Z3,217369,5,0,Open,6
W9124723C0050,236220,2023-08-17,2100,Y1JZ,Southeast,GDCYGZT48478,50000,1,0,Open,1
GS11P08YTC0031,236220,2007-10-25,4740,J041,Southeast,LDDWKMG9KMM7,12610,1,0,Restricted,1
W912HP22C7000,236220,2022-02-16,2100,Y1JZ,Southeast,EPN8RNDZT2F7,2618479,4,3000,Restricted,1
VA24414C0364,236220,2014-08-19,3600,Y1AZ,Northeast,UH16D6FG29P3,40000,1,44000,Open,3
V101DC0211,236220,2005-09-29,3600,Y149,Southeast,F5QTJWHYMCY3,11200000,0,0,Open,2
FA820104CN001,236220,2004-04-29,5700,Z164,West,FMW2Z3B2YJ79,209366,2,18460,Open,""
W91B4M09C4032,236220,2009-01-15,2100,Z199,Southeast,LN9PU5M2YZN5,9600,1,0,Open,0
GS09P12WRC0040,236220,2012-09-14,4740,Z2AA,West,GNLJQ8XJRD57,20250,1,0,Restricted,1
N4008013C3016,236220,2013-07-18,1700,Y1AA,West,ULMPN2X7TJC6,410911,1,0,Open,""
V246C00350,236220,2005-09-26,3600,Z141,Southeast,L389HZJ85LD5,498899,2,50277,Restricted,1
VA246C0209,236220,2008-05-28,3600,Z141,Southwest,KTG8LSMNW7T1,929391,5,79198,Open,1
VA247C1014,236220,2009-07-17,3600,Z141,Southeast,WWNEKUWTNYJ1,233390,0,0,Restricted,1
GS03P13QPC0008,236220,2013-08-27,4740,Z2AA,Southeast,FXNFLNHK4MK3,116809,3,9052,Open,1
