Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
VA797T13C0004,236220,2013-04-17,3600,Y1NB,Midwest,Q9M4J5VT3MW8,4539000,8,235680,Open,7
VA24812C0350,236220,2012-09-27,3600,Y1DA,Southeast,C4QZVQLHFNM3,7070,0,0,Restricted,1
36C25023C0202,236220,2023-09-29,3600,Z2LC,Midwest,PGXKMKH3QD93,2195255,1,44249,Open,1
VA528RA0742,236220,2010-06-01,3600,Y141,Northeast,V4H8HMLGKZW5,1114051,3,11939,Open,4
47PJ0018C0026,236220,2018-03-22,4740,Z2AA,West,MA5RQD9GKT48,11651,1,0,Restricted,1
W9124722C0078,236220,2022-09-06,2100,J045,Southeast,S72HR755B9Y1,4500,0,0,Restricted,1
36C24822C0027,236220,2022-02-07,3600,Z2DA,Northeast,C7QRJTNKJM69,122881,3,8468,Open,3
W9126G09C0034,236220,2009-06-09,2100,Y199,Southwest,LTT8BT2KTBJ3,1294456,1,30104,Restricted,1
GS10P10XJP0053,236220,2010-09-13,4740,Z111,West,UGCTX8NF1MJ5,13417,1,0,Open,1
47PJ0022C0047,236220,2022-09-16,4740,Z2GZ,West,NTJRK3T2CKN7,207852,0,0,Open,1
W9124N10C0106,236220,2010-09-23,2100,Z119,West,L77GTD52MAJ5,880000,0,0,Restricted,1
W917PM08C0034,236220,2008-03-08,2100,Y199,Southeast,LN9PU5M2YZN5,4222309,10,1031232,Open,3
W9124712C0017,236220,2012-04-19,2100,Y1FC,Southeast,UVW7T57FSEA9,197383,0,0,Restricted,1
FA667515C0007,236220,2015-09-23,5700,Z2AA,Southwest,L6XAG5CGKGV7,214214,1,0,Open,""
EPC10026,236220,2010-04-16,6800,Y173,Southeast,Z6CSNY76MFC7,218944,5,87485,Open,5
1282A723C0037,236220,2023-07-19,12C2,Z2AZ,Southeast,WDVSJAHKT9U9,164236,0,0,Restricted,1
VA24313C0048,236220,2013-03-06,3600,Y1DA,Northeast,VZCKAB8RKGQ7,1286000,3,198211,Open,7
SPE50015C0012,236220,2015-09-04,1900,C1AA,Southeast,LN9PU5M2YZN5,17184,0,0,Open,4
VA243C1205,236220,2011-09-20,3600,Y149,Northeast,YKB9EHR89VJ7,98662,0,0,Restricted,1
GS09P16NPC7022,236220,2016-01-14,4740,Z2AA,West,T8NAX48XA2W3,3298752,9,430063,Restricted,1
GS11P11MKM0022,236220,2011-01-26,4740,Z111,Southeast,XDMPNN7E1Z99,47400,1,9135,Open,3
W90U4210C4156,236220,2010-08-16,2100,Y112,Southeast,LN9PU5M2YZN5,34897,1,0,Open,1
GS11P08YTC0072,236220,2007-12-19,4740,Z111,Southeast,ZLYBXZPYRKG1,7612,0,0,Restricted,3
VA262C0420,236220,2008-09-26,3600,Z141,West,DVQLEKBSV2P7,111883,0,0,Restricted,1
VA244C1473,236220,2010-09-02,3600,Y111,Southeast,CLJME3ENNXM6,495150,1,0,Open,5
GS08P12JCC0025,236220,2012-09-26,4740,Z2AA,Southeast,SWGDQMY7PQ38,28302,1,0,Restricted,1
W912BV20C0005,236220,2020-03-24,2100,Y1JZ,Southwest,NSGGGUENWB25,18933323,10,713247,Open,9
GS08P11JFC0002,236220,2010-11-17,4740,Z111,West,PZ8LQ54KJV74,175668,0,0,Restricted,1
DJBP0700COBOJ2D20013,236220,2010-07-12,1540,R699,Southeast,VXRWPL1FZB47,54075,0,0,Restricted,1
V249C0062,236220,2005-09-29,3600,AD61,Southeast,U5A1QFZYBMG3,1677020,0,0,Restricted,1
36C25923C0099,236220,2023-07-31,3600,Z2DA,West,U863WPLYRS13,916365,0,0,Open,1
DJBP0700CC00000015,236220,2010-09-27,1540,Y166,Southeast,XTN2R76YZ335,966000,0,0,Restricted,1
70FBR522C00000004,236220,2022-08-26,7022,C1AA,Midwest,XJEBDRH9UKK5,100224,0,0,Restricted,1
W912QR21C0004,236220,2020-12-04,2100,Y1JZ,Midwest,TABLTHULNJJ7,9061000,20,599604,Open,7
W911RZ08C0029,236220,2008-09-26,2100,Y111,West,KGU1HENMVTS6,3043692,15,272906,Restricted,1
INF15PC00002,236220,2014-11-07,1448,Z1AZ,Midwest,VDUUGNWN4MU7,653100,3,0,Open,1
36C24521C0119,236220,2021-06-02,3600,Z1DA,Southeast,Z9KLX6KTM5J5,876508,1,50342,Open,2
GS10P15XJC0007,236220,2015-03-03,4740,Z2AA,West,QN9DKEWMBWP9,378288,5,135613,Restricted,1
15F06720C0001146,236220,2020-05-19,1549,Y1GZ,Southeast,S2SVA1GNRVK5,7864725,13,17714331,Restricted,1
N6945020C0043,236220,2020-07-07,1700,Y1FC,Southeast,MBEJT86XMQ44,1616720,2,2345,Open,""
INF201817C013,236220,2007-03-21,1448,C119,Southwest,TRG1T9Y195M3,65463,0,0,Open,5
GS09P07WDC0006,236220,2006-10-19,4740,Z111,West,NY96WANSUGL5,5930,0,0,Restricted,1
47PK0921C0003,236220,2020-10-15,4740,Z2AA,West,JAWTGX9MCDJ6,48105,3,0,Open,1
