Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
HHSD254200408262C,236220,2004-08-06,7523,Z199,Northeast,LALFKXYL3GL3,128460,4,81118,Restricted,1
SALMEC04C0024,236220,2004-09-04,1900,Y111,Southeast,N9VUJEYF2L77,55567030,19,6243452,Open,4
V247C04628A,236220,2005-09-23,3600,Z149,Southeast,L4FUJ4JYDAJ8,650379,2,41436,Restricted,1
VA246RA0560,236220,2010-03-19,3600,Z141,Southeast,NSKMLKTJCC98,999906,6,181983,Open,14
W912QR13C0046,236220,2013-09-30,2100,Y1JZ,West,F5QGMJDZSV98,1560895,3,161680,Restricted,1
W90YVD11C0012,236220,2010-11-28,2100,Y199,Southeast,LN9PU5M2YZN5,684695,1,673060,Open,1
GS03P04QNC0065,236220,2004-07-02,4740,Z111,Southeast,LVUEGJSMZVF3,99891,4,11153,Open,2
HSCG4508N6WK168,236220,2008-09-22,7008,AD61,West,EED9FB573LK5,19788,0,0,Restricted,1
GS10P16XCC7019,236220,2016-08-30,4740,Z2AA,West,M6Y9EFJUM1S5,287453,1,3070,Open,1
INP12PC75940,236220,2012-07-24,1443,Y1AZ,Southwest,ZDGNBKUB3BT7,189000,2,0,Open,5
V649C03898A,236220,2005-09-29,3600,Z141,Southwest,STJXNA5AA7F4,4797000,4,374385,Open,5
04N7200307D5004N7351,236220,2003-07-15,12C2,Y159,West,WDHJCQEC4NT9,504243,4,102471,Open,0
GS10P16XCC7014,236220,2016-07-28,4740,Z2AA,West,RMPYNF7CMXB7,253265,5,58657,Open,2
W912DR18C0036,236220,2018-09-30,2100,Y1PZ,Southeast,YJVEF1UNTBG7,1940428,11,820961,Restricted,1
W912UM19C0022,236220,2019-09-27,2100,Y1AZ,Southwest,SPMVKQ458YQ7,2791477,5,24738,Open,2
36C24921C0040,236220,2020-12-30,3600,Y1DA,Southeast,LPPTFNUEME13,73058,0,0,Open,2
36C25622C0057,236220,2022-04-06,3600,Z1DA,Northeast,RAZVNQ7ENNP4,1167700,3,0,Open,2
N6426724C0223,236220,2024-09-27,1700,Y1JZ,West,PP4HMNJE84H1,4721988,0,0,Open,""
W912ER10C0009,236220,2010-01-29,2100,Y111,Southeast,NN2NGPDNCK23,4944476,5,182406,Open,16
KS000200307DGS09P03KSD0103,236220,2003-07-15,4740,Z111,West,QTTLNP2QJ6K3,1,0,0,Open,21
N6247310C2017,236220,2010-09-30,1700,Z300,West,VMLEJ5KNB2M9,548423,0,0,Open,""
GS04P13EXC0103,236220,2013-04-17,4740,Y1AA,Southeast,RKQXCNLNN1N5,8161,0,0,Open,2
AG0261C150010,236220,2015-09-15,12C2,Y1JZ,West,YWJ5YNB1M4W5,293938,3,19459,Open,2
W91B4L10C0080,236220,2010-03-05,2100,Y300,Southeast,LN9PU5M2YZN5,95925,1,8050,Open,1
GS09P16WNC7023,236220,2016-07-20,4740,Z2AA,West,GJ38U159CDH7,11954,0,0,Open,1
VA25615C0078,236220,2015-03-31,3600,Y1DA,Southeast,EDXHGN4LK5T8,433795,3,38007,Open,4
W91SMC16C0006,236220,2016-08-31,2100,Z2BZ,Midwest,VALBUVHY2DM8,75776,1,19222,Open,1
GS08P15JCC7006,236220,2015-08-10,4740,Z2AA,Southeast,LM38K2657LR6,11497,0,0,Restricted,1
69727622C000001,236220,2022-09-12,6938,5660,Southwest,V5NWWR9UUJR8,574288,1,0,Restricted,1
F3061703C0010,236220,2003-09-30,5700,Z129,Northeast,FYF1DNQHJV64,48151,1,2000,Open,""
GS11P08YEC0153,236220,2008-07-11,4740,Z111,Southeast,PDV2N4LME4G4,9979,0,0,Restricted,1
SP470210C0025,236220,2010-09-27,97AS,Z299,Midwest,DL9CD5TQX465,2369992,2,1295000,Open,""
W9124B19C0024,236220,2019-09-27,2100,Z2JZ,West,HGULGBQZVK63,28015,0,0,Open,1
GS09P15KZC7004,236220,2015-09-30,4740,Z2AA,Midwest,JBNZZ87KNTZ8,1441887,4,113616,Restricted,1
47PK0524C0029,236220,2024-04-09,4740,Z2AA,West,V79BMWJ66XC6,90240,0,0,Open,1
FA460010C0050,236220,2010-09-29,5700,Z111,Midwest,QHU1JXKM7D51,273494,3,9715,Open,""
VA241P1456,236220,2009-09-28,3600,Z141,Northeast,XFNNVZ13V5W5,224506,0,0,Restricted,1
VA24613C0113,236220,2013-06-27,3600,Y1DZ,Southeast,WH7JU3H2JC44,349249,0,0,Open,13
W9124722C0070,236220,2022-08-15,2100,5450,Southeast,PTHMDBNVTF45,18000,0,0,Open,1
HHSN292200900025C,236220,2009-08-12,7529,C219,Southeast,YVMBYACMNKU1,31003,0,0,Open,1
INP16PC00536,236220,2016-09-16,1443,Z2FZ,West,DBX8K2GJG2W1,185513,0,0,Restricted,1
GS11P15ZGP0260,236220,2015-05-29,4740,Z2AA,Southeast,MF2JTFE16CU1,11011,0,0,Open,1
VA251C0563,236220,2009-06-09,3600,Z149,Midwest,F8BNP65JGB93,465971,6,92855,Open,13
W9124713C0055,236220,2013-09-29,2100,Z2FD,Southeast,EKYQNG81VTJ9,100259,1,0,Open,1
FA449721C0003,236220,2020-12-07,5700,Z2BZ,Northeast,VRTRAALH2RX6,320104,1,0,Open,""
15F06724C0001249,236220,2024-09-13,1549,C211,Southeast,XXNJCWMAKNH8,81300000,0,0,Open,3
W912DR18C0003,236220,2017-11-06,2100,Y1AZ,Southeast,EXF4BLB9P9V1,9603792,29,1220872,Open,10
W912QR11C0042,236220,2011-09-07,2100,Y199,West,VNPDQR925EH3,5738007,16,465083,Open,9
W91QF711C0009,236220,2011-07-13,2100,Z199,Southeast,MMBLJDUN9LD7,18956,2,14263,Open,1
70B01C23C00000094,236220,2023-09-08,7014,C1NZ,Southeast,CLDXF8SBBWN8,974000,2,0,Open,1
V691C0532,236220,2004-09-13,3600,Z141,West,JBH2HD9FLWE8,299032,0,0,Restricted,1
VA69DC0593,236220,2008-08-14,3600,Z141,Midwest,JQ5GEDG7MW17,1674529,7,137148,Restricted,1
GS09P09WDC0008,236220,2008-11-07,4740,Z111,West,CJJFBGYYEJW5,92247,1,5005,Restricted,1
W91QF607C0007,236220,2007-09-26,2100,Y299,Southeast,DAZ1CRQF3F16,486000,1,0,Restricted,1
FA466406C0004,236220,2006-07-27,5700,Z111,West,P6JNKVNA2XS7,247267,0,0,Open,""
W81XWH08C0080,236220,2008-07-03,2100,Y159,Southwest,UFWKQY16YDY3,84300,1,0,Open,2
GS11P15ZGP0098,236220,2015-04-03,4740,Z2AA,Southeast,WGA4K6GRZN97,82535,1,57840,Open,2
W912L111C0015,236220,2011-06-15,2100,Y159,Southeast,FXREMHLWTWC6,2100000,6,159154,Open,11
W912CN20C0021,236220,2020-09-29,2100,Z2JZ,West,DMHKXMHN3NG9,2526127,4,0,Restricted,1
HSCG3310NPQQ151,236220,2010-05-11,7008,Z119,West,DJ6ZMHPCNHL3,9554,0,0,Open,13
GS04P10EWC0045,236220,2009-12-23,4740,Z111,Southeast,J69ZQAJ9HT51,47670,0,0,Open,1
VA250C0709,236220,2012-01-11,3600,Z1DA,Midwest,ERE8AMJLLB43,9063100,19,660888,Open,6
GS07P09UAC0040,236220,2009-06-18,4740,Y111,Southwest,SDJCJ2TEWVJ5,1398799,2,1398799,Open,5
697DCK18C00415,236220,2018-09-25,6920,Y1BA,Midwest,HH96JGLKBWZ2,40891350,21,1001849,Open,2
