Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
W9128A12C0024,236220,2012-09-27,2100,Z2NZ,West,KBNSR7KFF927,275022,3,33561,Restricted,1
VA24113C0030,236220,2013-04-10,3600,Z1DA,Northeast,CXK4W1G8G7T5,2203000,2,23665,Open,5
GS08P12VPC0006,236220,2011-11-22,4740,Z2AA,West,EDWZDPX8KZ23,5174,2,875,Open,3
VA245C0551,236220,2010-09-27,3600,Z149,Midwest,PU22G63NDZG8,444798,1,16915,Open,3
GS05P14SVC0081,236220,2014-09-04,4740,Z2AA,Midwest,HE2QULKCL2T5,134657,5,47468,Open,1
47PK1520C0009,236220,2020-02-06,4740,Z2AA,West,EA9ZK7HKGDB3,24500,0,0,Open,1
36C25019C0269,236220,2019-09-12,3600,Y1DZ,Midwest,SW9UWJPMGKA7,124900,0,0,Open,1
47PK0723C0003,236220,2023-04-17,4740,Z2AA,West,G1DMJZKBDRZ5,34500,0,0,Restricted,1
GS11P14YEC0094,236220,2014-06-25,4740,Z2AA,Southeast,LXC6T8UQ56M9,13043,0,0,Open,1
W9127807C0037,236220,2007-07-19,2100,Y199,Southeast,KJ1ZS574VV73,40902363,70,6284361,Open,3
12305B19C0049,236220,2019-09-18,12H2,Z1DB,Southeast,Y9FRK3A8ZNE7,704863,0,0,Restricted,1
697DCK23C00158,236220,2023-04-25,6920,Y1AA,Northeast,JYEWBM2PC2J5,10450562,3,88136,Open,1
DOLJ129633122,236220,2012-04-17,1605,Y1AA,Southeast,NY6DCJKBBRA7,31251,0,0,Restricted,1
140L1223C0002,236220,2023-03-15,1422,Z1JZ,West,CL9WYVJ7MKY5,1365260,0,0,Open,3
VA257C0568,236220,2010-06-21,3600,Y291,Southwest,LCVJF5ZNK764,49000,1,2622,Open,13
GS11P17NWC0048,236220,2017-06-23,4740,Z1AA,Southeast,KRANQYALELB4,9540,0,0,Open,1
