Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
W912DQ09C1031,236220,2009-06-27,2100,Y299,Midwest,TKMMLMFBX797,333450,1,0,Restricted,1
F0466603C0011,236220,2003-05-27,5700,Z163,West,EWR7Y8QFBZB8,795319,1,314438,Open,""
DACW2703C0022,236220,2003-08-12,2100,Y222,Southeast,LVWPXDUBLK96,85589,1,15610,Restricted,1
SALMEC04C0032,236220,2004-09-16,1900,Y111,Southeast,HL8UABMLULZ4,3600000,6,536119,Open,4
DOCWC133F06CN0304,236220,2006-09-22,1330,Y111,Southeast,NE8LCLDMENU9,1532000,0,0,Open,2
V671C6898A,236220,2006-09-21,3600,Z119,Southwest,JLT5LGZ3U5A3,485400,9,26256,Restricted,1
VA247C0814,236220,2009-01-08,3600,Z141,Southeast,MNXWM6SRMXN9,6900,0,0,Open,4
GS04P11RDC0016,236220,2010-12-21,4740,Z111,Southeast,F9A5M99LBXZ3,2270,0,0,Open,3
VA24612C0049,236220,2012-06-28,3600,Y1DA,Southeast,R5LTEKESKV11,1118180,4,398424,Open,4
HSCG4216NPCV401,236220,2016-05-23,7008,Z1AZ,Northeast,CM4RH9KBCFP1,23500,1,0,Open,6
HSCG8317CPFY006,236220,2017-05-11,7008,Z1FD,Southeast,P6LMJ7T4YQK5,2535098,4,35118,Restricted,1
VA247C0824,236220,2009-02-24,3600,Z141,Southeast,KQ3ECNX1SUJ1,694930,0,0,Restricted,1
VA24815C0155,236220,2015-09-23,3600,Y1DA,Southeast,FJHRPGJTTBH6,268306,0,0,Restricted,1
W912DR21C0004,236220,2020-11-24,2100,Z1AZ,Southeast,XHDBKA151ZA9,1037743,3,59858,Restricted,1
W912QR06C0034,236220,2006-06-29,2100,Y119,Southwest,NSGGGUENWB25,7549000,31,652588,Restricted,4
75N99022C00032,236220,2022-08-23,7529,Y1JZ,Southeast,HHWNBYZHKMC5,1935120,3,219688,Open,1
W912DQ20C4013,236220,2020-09-24,2100,Y1EZ,Southwest,MDZQUDZPLUG3,23377000,5,11624576,Open,8
36C25723C0086,236220,2023-07-12,3600,Z2DA,Southwest,DK6BPGB7G9R9,2552822,1,89327,Open,5
N4008009C1054,236220,2009-09-11,1700,Y199,Southeast,RUA5YBB5SG29,146204,1,0,Open,""
GS04P04CXC0058,236220,2004-09-24,4740,Z111,Southeast,TT9DBSJAH9L4,24630,0,0,Open,1
W9115120C0037,236220,2020-09-24,2100,Y1NA,Southwest,YS56YNBE3N81,1541378,5,7499,Open,6
DEAC2604NT42289,236220,2004-09-27,8900,Z199,Southeast,ZDYGLL8L7ZV5,325282,4,71274,Open,1
W9124Q08C0653,236220,2008-07-03,2100,Z199,Southwest,NE7LHV5QC1N7,250000,2,0,Restricted,1
