Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
47PM1023C0020,236220,2023-09-22,4740,Z2AA,Southeast,KLC4KC1A6XH3,15922202,2,0,Open,1
GS04P16EXC7017,236220,2015-12-01,4740,Z2AA,West,HQA2PEVLPRD5,39995,1,0,Restricted,1
1305M320CNFFP0072,236220,2020-09-03,1330,Z1JZ,West,FEA4ZTEGYLM5,1514261,4,167332,Restricted,1
47PD1223C0005,236220,2023-08-14,4740,Z2AA,Southeast,ENJ3S1LZF839,340220,1,0,Open,1
GS11P17NWC0050,236220,2017-07-11,4740,Z1AA,Southeast,XEQ3L57D2J24,41523,0,0,Open,1
W911KB09C0015,236220,2009-03-19,2100,Y199,West,CJ2LRL5B28C6,21340500,38,8161091,Open,4
V692C473,236220,2004-09-29,3600,Z199,West,JX8HZ5S2L396,117260,0,0,Open,3
VA786A16C0029,236220,2016-08-25,3600,Y1AZ,Southeast,EDXHGN4LK5T8,264564,5,83732,Open,8
W912QR06C0039,236220,2006-08-24,2100,Y119,Southeast,G5N5UET3DSA4,5855387,16,792263,Open,3
GS04P10BVC0097,236220,2010-09-30,4740,R499,Southwest,RB3ZNJMFJC24,502705,5,2500,Restricted,1
GS03P15DXC0027,236220,2015-03-27,4740,Y1NE,Southeast,UJJZKMAZJNJ7,1289130,6,6097470,Open,1
W91QV116C0122,236220,2016-09-22,2100,Z2AA,Southeast,HC4JYJFW79J8,144438,2,0,Restricted,1
W912QR12C0004,236220,2011-11-23,2100,Y1JZ,Southeast,TM6LCC4X4CV1,13345000,5,538305,Open,15
DABK0903C0021,236220,2003-09-30,2100,Z131,Southeast,U5A1QFZYBMG3,2106952,4,214528,Restricted,1
W9127808C0039,236220,2008-06-30,2100,Y199,Southeast,R83VS2UJE1N7,17538449,31,948515,Open,4
W917BK08C0027,236220,2008-05-14,2100,Y299,Southeast,LN9PU5M2YZN5,319972,2,0,Open,49
W9124E12C0005,236220,2012-07-20,2100,Y1AZ,Southeast,VN2AL724JED7,80252,2,16650,Restricted,1
36C24818C0152,236220,2018-06-27,3600,Z2AA,Southeast,WRV2FR811M24,3104206,3,227412,Open,9
47PM1024C0005,236220,2023-11-08,4740,Z2AA,Southeast,H9WQUXTJLFZ9,96084,0,0,Restricted,1
36C25024C0179,236220,2024-09-30,3600,Y1DA,Midwest,DCW6J1KBD429,375401,0,0,Open,3
W91B4K10C7092,236220,2010-08-20,2100,N045,Southeast,NN2NGPDNCK23,14920,1,0,Open,1
W9123820C0040,236220,2020-09-30,2100,Y1BG,West,V79BMWJ66XC6,425700,3,0,Restricted,1
V600C08558A,236220,2006-09-25,3600,Z141,West,NTMVJJJFLAN4,648000,1,1866,Restricted,1
W912ER12C0031,236220,2012-06-11,2100,Y1BG,Southeast,NN2NGPDNCK23,5027586,4,634628,Open,18
W912L104C0029,236220,2004-09-23,2100,Y119,Southwest,C74LXHM4X5B8,748660,0,0,Restricted,1
N4008019C0023,236220,2019-05-30,1700,Y1JZ,Midwest,HH96JGLKBWZ2,19298950,10,1269245,Open,""
36C25819C0124,236220,2019-08-12,3600,Z1DA,Southwest,K514LY25RBX5,125000,1,18863,Restricted,1
W912P823C0042,236220,2023-09-27,2100,C1JZ,Southeast,V355ECBM6Z65,3773277,0,0,Open,1
36C25018C0202,236220,2018-09-05,3600,Y1DA,Midwest,JN57WU75KM29,406895,2,68897,Open,3
47PF0018C0130,236220,2018-09-09,4740,Z2AA,Midwest,XDNKT3LJCKL7,6313,1,53,Open,1
GS04P07EWC0179,236220,2007-05-24,4740,Z111,Southeast,JAQULDM1RP23,93489,0,0,Restricted,1
W9124724C0067,236220,2024-09-17,2100,Y1AZ,Southeast,GDCYGZT48478,496388,0,0,Open,1
GS06P15TBC0005,236220,2015-04-08,4740,Z2AA,Midwest,FVS2DU2TNTH5,21150,1,0,Open,2
W912QR07C0077,236220,2007-09-30,2100,Y119,West,FTAFWBSNSWC1,634635,3,47425,Restricted,1
W90WL516C0009,236220,2016-09-20,2100,Z2EA,West,JQUWCG4P3N21,59411,0,0,Restricted,1
W5J9JE12C0083,236220,2012-05-29,2100,Y1AZ,Southeast,NN2NGPDNCK23,3393718,7,463987,Open,5
W56HZV13CL559,236220,2013-09-30,2100,Z2AA,Midwest,TMESJEQE6TA6,180000,0,0,Restricted,1
47PK1221C0016,236220,2021-04-19,4740,Z1AA,West,NFGMJQ662UL6,180581,0,0,Open,1
