Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
75N99022C00043,236220,2022-09-16,7529,Y1JZ,Midwest,SNH5RQKM6LL6,179934,2,0,Restricted,1
VA52812C0180,236220,2012-09-27,3600,Y1DA,Northeast,RR9DNNDHWNN4,2883659,12,412844,Open,4
36C25919C0244,236220,2019-08-14,3600,Y1DA,West,S3BNL6LJVNW3,457935,0,0,Restricted,1
W912HN06C0047,236220,2006-07-18,2100,Z163,Southeast,F58ABW7WBAV7,25152850,25,10748778,Open,1
W5J9JE12C0084,236220,2012-05-02,2100,Y1AZ,Southeast,NN2NGPDNCK23,4039224,1,0,Open,3
W9127818C0026,236220,2018-09-28,2100,Y1JZ,Southeast,FE24DCBHDYQ1,8007902,12,81780,Open,1
GS07P15HHC0014,236220,2014-12-04,4740,R499,Southeast,JR1YQYY6FDN1,68085,13,613078,Open,8
36C25918C0346,236220,2018-09-19,3600,Z2DZ,West,RZDNMLWD95E5,82164,1,28867,Restricted,1
W5K9FH11C0249,236220,2011-09-16,2100,5410,Southeast,LN9PU5M2YZN5,284836,1,0,Open,1
W9124N15C0006,236220,2015-08-27,2100,Z2AA,West,JUDYSL5TZGZ8,92685,0,0,Restricted,1
GS05P17SCC0017,236220,2017-04-18,4740,Z2AA,Midwest,DQNLKMRXG8N5,68231,1,0,Open,1
33330219CF0010236,236220,2019-09-30,3300,C1JA,Southeast,GYGNN92AU8A4,15914,1,11494,Open,3
00262200309DV600C4828A,236220,2003-09-15,3600,Z149,West,JBH2HD9FLWE8,600000,0,0,Open,1
GS06P15TKC7013,236220,2015-09-17,4740,Z1AA,Southeast,H7CQQGDPYYC7,7335,0,0,Restricted,1
140F0322C0013,236220,2022-04-28,1448,Z2EB,West,HGLNE7Q7TE27,67000,3,3838,Open,10
140P3022C0033,236220,2022-09-19,1443,Z2QA,Southeast,DJMGNEZPQHL4,18899,0,0,Restricted,1
W917BE07C0007,236220,2007-03-18,2100,Y131,Southeast,LN9PU5M2YZN5,860000,1,405000,Open,24
FA489711C3021,236220,2011-09-30,5700,Z119,West,C3JZNM5ZLAL1,2514467,3,27261,Open,""
W91GY309C0089,236220,2009-09-03,2100,9999,Southeast,LN9PU5M2YZN5,75000,2,23500,Open,1
VA25015C0011,236220,2014-12-30,3600,Z1DZ,Midwest,JN57WU75KM29,2421778,6,104466,Open,5
HSFEEM07C0329,236220,2007-09-28,7022,Y131,Northeast,H4RCJBNCETE1,372031,1,23900,Restricted,1
GS09P13WNC0050,236220,2013-09-27,4740,Z1AA,West,FKMWECSN4983,8001,0,0,Open,1
DTFAAC09C00055,236220,2009-09-19,6920,Y111,Midwest,S4L3PCALD6E4,62475,0,0,Open,3
INA13PC00192,236220,2013-09-21,1450,Z2JZ,Southwest,JF45HLE1BFF6,79717,1,0,Restricted,3
FA448418C0015,236220,2018-09-17,5700,Z1FZ,Northeast,SV2DMS724HK9,88000,3,6654,Open,""
GS07P10URC0046,236220,2010-08-16,4740,Y111,Southwest,JB8DZ49ZDNN7,430862,9,353975,Restricted,1
GS08P06VPC3057,236220,2006-09-22,4740,Z111,West,NSS7AYPXMFV4,3878,0,0,Restricted,1
SAQMMA11C0113,236220,2011-04-11,1900,S112,West,XC5GFWVZ6MN1,994107,3,97255,Open,6
VA263C0426,236220,2008-08-11,3600,Z141,Midwest,KDF5NVZFS5K5,10900,0,0,Restricted,1
47PD1219C0005,236220,2019-02-12,4740,Z2AA,Southeast,LJDSZLBB34D3,18166,2,0,Open,1
