Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
W5KA4N10C0077,236220,2010-05-18,2100,Y154,Southeast,LN9PU5M2YZN5,20666,0,0,Open,1
W91SMC11C0009,236220,2011-07-19,2100,Z299,Midwest,EBX9J8B47FF8,211843,2,36577,Restricted,1
DABK3903C0081,236220,2003-06-30,2100,Y299,Southwest,CJBWK9JSXED6,54196,1,4520,Restricted,1
DOLJ109630064,236220,2010-03-31,1605,Y119,West,G5HYFEMZL3T4,3888450,9,133464,Open,9
19AQMM22C0147,236220,2022-09-27,1900,Y1AA,West,GHX2M8GQJ364,336133,5,0,Restricted,1
W5J9JE10C0043,236220,2010-07-18,2100,Y199,Southeast,LN9PU5M2YZN5,1544000,3,0,Open,45
DACA8503C0023,236220,2003-08-16,2100,Y199,West,PE19T78K2AM7,2724000,2,7246,Restricted,1
GS10P11XJC0013,236220,2011-04-20,4740,Z111,West,SKJ4AYZUJQR3,154057,4,19026,Open,8
VA257C0676,236220,2011-02-14,3600,Y141,Southeast,LUFHWSKLG1Q5,7208553,20,638012,Open,12
GS11P05YEC0023,236220,2005-01-04,4740,Z111,Southeast,HL8UABMLULZ4,775000,7,1897552,Open,1
V674C4848A,236220,2005-01-13,3600,Y299,Southwest,M8NCXVVB3W93,180903,0,0,Restricted,1
INR04CC408063,236220,2004-05-13,1425,Y162,Southwest,Q1Y5N22LGDS9,116423,1,1726,Open,1
GS11P12YTC0166,236220,2012-07-19,4740,Z2AA,Southeast,DRPKKLLCYMJ5,440091,7,148893,Restricted,1
V69DC856,236220,2006-09-22,3600,Z141,Midwest,ZJE3GTWE6D36,45005,0,0,Open,4
VA245C0382,236220,2009-08-27,3600,Z141,Southeast,M5ZMJYHBNJ61,78226,0,0,Restricted,1
W912P414C0010,236220,2014-06-09,2100,Y1AA,Midwest,H3NDXJ1DTLE5,889342,4,106234,Open,3
140P2020C0040,236220,2020-08-21,1443,Z1AZ,Northeast,SPW8KTH63M65,1849470,3,36782,Restricted,1
15B61723C00000028,236220,2022-12-20,1540,Z1FF,West,V7Z7DL47LXP2,5000,0,0,Open,1
VA259C0397,236220,2008-09-30,3600,Z111,West,PE3BPN7DKNF7,499000,1,0,Restricted,1
36C25623C0021,236220,2022-12-30,3600,Z2DA,Southeast,NAQXNP72BP91,460158,0,0,Open,1
N4008524C0028,236220,2024-07-24,1700,Z2JZ,Southeast,RB1KQ7LMCLG8,2728283,0,0,Open,""
VA25012C0068,236220,2012-06-28,3600,Z1DA,Midwest,CEA1C9GL49M5,749000,9,58814,Open,2
36C25722C0074,236220,2022-07-22,3600,Y1DA,Northeast,XL37GNF7FJN3,778181,4,0,Open,8
VA241C0771,236220,2008-09-26,3600,Z141,Northeast,W27HWYZ1JFL1,135120,0,0,Open,2
W90U4210C4068,236220,2010-05-20,2100,Y112,Southeast,LN9PU5M2YZN5,309620,2,14825,Open,1
W9127N20C0036,236220,2020-09-29,2100,Z1KB,West,YG82AM3KMJS3,179632,0,0,Open,1
VA24917C0174,236220,2017-05-04,3600,Y1PZ,Northeast,DRFJV1M57TL6,13042,0,0,Restricted,1
W917BE08C0047,236220,2008-05-24,2100,Y131,Southeast,LN9PU5M2YZN5,1139400,1,1109400,Open,18
693JF720C000043,236220,2020-09-28,6938,Y1PA,Southeast,KCYXLTWPA849,1095438,5,1386701,Restricted,1
ETATP200304DAE134380320,236220,2003-04-15,1630,Z199,Northeast,M7PZGEM98JV6,583000,0,0,Open,1
VA26213C0134,236220,2013-09-27,3600,Z1DA,West,YL45VDKN8W98,209087,0,0,Open,3
W91QF523C0018,236220,2023-09-30,2100,Y1CZ,Southeast,XGSUMBC1AJP6,2500000,2,1730090,Restricted,1
GS07P10UTC0010,236220,2010-02-02,4740,Y111,Southwest,WFMNRYAM8NN7,7195,0,0,Open,2
VA256C1055,236220,2010-09-30,3600,5680,Southwest,WC7YV2FLQEK5,172329,0,0,Open,3
GS09P15KLC7001,236220,2015-09-10,4740,Z2AA,Midwest,JBNZZ87KNTZ8,315597,1,10643,Restricted,1
N6274209C6541,236220,2009-08-04,1700,Y159,West,KS1MJKNTGNE9,1701183,2,131000,Open,""
DAHA4203C0012,236220,2003-09-30,2100,Z199,West,YLQFJ3NNTAK6,55817,1,6300,Restricted,1
AG05G15005G140410,236220,2004-08-20,12C2,Y119,West,NH7JETMN3L59,49253,5,56759,Open,1
VA258C00558A,236220,2008-01-25,3600,Z149,Southwest,STJXNA5AA7F4,0,1,2089,Restricted,1
VA241C1419,236220,2009-09-24,3600,Z141,Northeast,V8DKLMJPSB73,2619606,0,0,Open,8
GS10P09XFC0025,236220,2009-08-21,4740,Y111,West,K5BEUJL83NZ3,1883255,9,510526,Restricted,1
GS11P17MAC0009,236220,2017-01-19,4740,Z2AA,Southeast,NM81ELYQBUA9,20125,1,10440,Open,1
INP17PC00406,236220,2017-09-14,1443,Z1EB,Northeast,MT9AATHS7ZB5,13877689,14,1724363,Open,7
W9127818C0009,236220,2018-01-30,2100,Y1JZ,Northeast,H4XNLXHKKN45,148599600,59,14709393,Open,2
36C25018C0173,236220,2018-06-29,3600,Y1DA,Midwest,JEJJZPGM2CJ7,91395,0,0,Open,4
N4008019C3504,236220,2019-07-24,1700,Z2AA,Southeast,KVG8BMXKRMN9,525041,1,0,Open,""
AG6392C080003,236220,2008-09-04,12C2,Z162,Midwest,JSN2GADJCNJ3,358500,9,137516,Open,4
