Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
GS05P17SVC0007,236220,2016-11-18,4740,Y1AA,Midwest,JKAHXUMJX5E3,21354,1,0,Open,1
AG3K15C090008,236220,2009-01-13,12H2,Y119,Southeast,LGNNHU4RBCE7,509712,10,581899,Restricted,1
AG4419C100585,236220,2010-08-03,12C2,Y199,Midwest,JFMJP3R58LH5,405507,2,196584,Open,1
V255C657A10267,236220,2003-12-08,3600,Z141,Midwest,JMFJU4KL2T57,148966,0,0,Open,1
GS06P09GYC0030N,236220,2009-10-19,4740,Z111,Southeast,WLD3NNWJ4PN9,181216,2,12194,Restricted,1
VA243RA0885,236220,2010-06-07,3600,Y149,Northeast,H494ZGRAZGC7,3491000,2,645165,Open,5
VA26312C0199,236220,2012-06-28,3600,Y1DZ,Midwest,FNJLNYBU5873,22642,0,0,Open,3
VA244C1932,236220,2011-09-27,3600,Y141,Northeast,KDBTFL23HCW7,133618,1,0,Open,1
GS11P07MAM0250,236220,2007-10-03,4740,AD61,Southeast,S931LTFN63M7,107342,0,0,Restricted,1
DJBFAOG2X10043,236220,2007-09-27,1540,AD61,Southwest,TVVBMQ4RFXS8,4313,0,0,Open,3
W9124722C0040,236220,2022-06-30,2100,Z1AA,Southeast,JJKPJR3QLCL5,118005,1,0,Restricted,1
INPC2011101050,236220,2010-05-05,1443,Y299,West,F3Q3C7L5A6R6,593365,2,183051,Restricted,1
N4008519C8026,236220,2019-01-10,1700,Z2JZ,Southeast,EKYQNG81VTJ9,772363,2,12544,Open,""
6973GH23C00133,236220,2023-09-08,6920,Y1BC,Southwest,EYUYGMBP46G6,7344196,3,31978,Open,1
VA244C0382,236220,2008-05-28,3600,Z141,Southeast,E36XD6KU5263,47112,0,0,Restricted,1
W22G1F07C0004,236220,2007-08-16,2100,Y179,Southeast,LVWPXDUBLK96,177579,3,0,Restricted,1
N4008018C0009,236220,2018-01-16,1700,Z2QA,Southeast,KMNKDNFK15Q8,5560250,2,5560250,Open,""
W911XK09C0001,236220,2008-12-05,2100,Y111,Midwest,T9RBJANJKDB7,2286330,4,1438894,Restricted,1
W912DQ13C4000,236220,2012-12-06,2100,Y1AZ,Southeast,KA5HQCLKUVW1,15667519,9,12426280,Open,5
DABK3303C0012,236220,2003-09-30,2100,Z300,Southwest,WFC1SKN5GMM4,471182,3,350988,Restricted,1
W912P620C0007,236220,2020-04-15,2100,Z2DA,Midwest,V1UWA4K69KL5,3500000,1,3470906,Open,1
70CMSW24C00000028,236220,2024-09-11,7012,Y1AZ,West,D3JYAN52KQ27,918887,0,0,Restricted,1
INPC4500049014,236220,2004-09-24,1443,Y119,Southeast,D99PQ68JZ8N3,4260500,16,1506364,Open,2
VA528C0554,236220,2009-07-31,3600,Z141,Northeast,R34MRBPK3E94,124222,0,0,Restricted,1
F6460503C0051,236220,2003-09-30,5700,Z299,West,LZ8BK2ZNAJB9,468066,0,0,Open,""
W911SA08C0308,236220,2008-09-30,2100,Z119,Southwest,QMC7JPKEU7L1,595650,2,14605,Open,5
VA244C1375,236220,2010-05-10,3600,Z141,Southeast,E36XD6KU5263,8176,0,0,Open,3
VA26317C0045,236220,2017-05-12,3600,Z1DA,Southeast,M4N9YZH1DR91,91058,4,0,Open,4
V644C05618A,236220,2004-09-28,3600,Z141,Southwest,J695EGNCJXB5,2427897,0,0,Restricted,1
GS10P09XJC0023,236220,2009-03-25,4740,Z111,West,ZCREAHEHRP74,111290,3,24137,Restricted,1
HSCG8311CPTS004,236220,2011-09-13,7008,Z119,Southeast,KJETFRQ3TW77,201889,0,0,Restricted,1
12837119C0043,236220,2019-08-28,12C2,Y1HZ,Southwest,ND1XQAKA3GL1,120017,4,0,Open,1
1305M420CNCNS0080,236220,2020-09-24,1330,Y1EZ,Southeast,KCYXLTWPA849,961587,0,0,Restricted,1
GS08P16VEC7000,236220,2015-11-10,4740,Z2AA,West,MXN8TV7ETNV6,445465,4,6722,Restricted,1
GS09P07WBC0009,236220,2006-11-03,4740,Z111,West,TBE2YKEX2NM7,2100,0,0,Open,3
V636A6C670,236220,2005-09-29,3600,Z141,Midwest,MUQKMXMZ9WE5,105804,0,0,Restricted,1
W917BK09C0003,236220,2008-11-23,2100,Y112,Southeast,LN9PU5M2YZN5,2132000,5,525285,Open,5
VA25017C0223,236220,2017-09-28,3600,Y1DZ,Midwest,KLC3ALKFBAL9,516800,3,22154,Open,5
N3319109C0163,236220,2009-09-29,1700,C114,Southeast,LN9PU5M2YZN5,341380,2,0,Open,""
W9128A20C0005,236220,2020-09-18,2100,Z2DZ,West,H1KPDZLCMNR8,576000,3,384302,Open,6
N6247003C0068,236220,2003-08-27,1700,Z299,Southeast,PDCYQM94UZK4,299387,2,439961,Open,""
W9124E12C0010,236220,2012-09-12,2100,Y1AZ,Southeast,HFCZKKZ1WUU7,19879,3,107,Restricted,1
VA256C0183,236220,2007-11-20,3600,Z141,Southeast,QZGMDLEMKB43,315076,0,0,Restricted,1
36C25621C0050,236220,2021-03-29,3600,Y1DA,Southeast,NWJ1Z3M5EAE5,820000,0,0,Restricted,1
HSCG8305C3WF036,236220,2004-10-27,7008,Z299,Southeast,D99PQ68JZ8N3,679873,4,809098,Restricted,1
47PG0819C0002,236220,2019-05-15,4740,Z1AA,Midwest,G649M2TGDBP6,50278,1,0,Open,1
