Contract ID,Action Obligation ($),Date Signed,Contracting Agency ID,PSC,NAICS,Region,Business Entity ID
82X9200210D5082X92J009,3337000,2002-10-15,12C2,Y169,236220,Southeast,GZSLLYJHZE16
91T5200210D5091T531A101,420093,2002-10-15,12C2,Y199,236220,West,VHBWY3U8CXD8
AZ000200210DGS03P03AZC0041,360000,2002-10-15,4740,Z111,236220,Northeast,J6LMM3PSQRB3
BW000200210DGS01P02BZD0045,1,2002-10-15,4740,Z111,236220,Northeast,C67UPTC45VU7
BW000200210DGS01P02BZD0048,1,2002-10-15,4740,Z111,236220,Northeast,HMGZQFBHQ9C9
BW000200210DGS01P02BZD0051,1,2002-10-15,4740,Z111,236220,Northeast,RB4UKMXYJGR9
CD000200210DGS03P03CDC0068,353363,2002-10-15,4740,Z111,236220,Southeast,L389HZJ85LD5
F4168903C0001,4871000,2002-10-09,5700,Z119,236220,Midwest,MN15HNNCAM17
GE500200210DSGM50003C1002,164000,2002-10-15,1900,Y119,236220,West,R4NFJ1ZBNZK1
GY000200210DGS06P02GYC0007,415000,2002-10-15,4740,Z111,236220,Midwest,UBKUNLNN2DC3
GY000200210DGS06P03GYD0002,0,2002-10-15,4740,Z111,236220,Midwest,QCTNVKMQ92N7
GY000200210DGS06P03GYD0004,1,2002-10-15,4740,Z111,236220,Midwest,KC3NY1XDFUK9
JB000200210DGS08P03JBM0005,14973,2002-10-15,4740,Z111,236220,West,ZVNURMA2LNZ5
JB000200210DGS08P03JBM0009,6920,2002-10-15,4740,Y111,236220,West,NUBWPR118PN1
JXOOC453,0,2002-10-02,1540,Y166,236220,West,TAALLHTLFPR9
N6247092C2171,0,2002-10-24,1700,Y119,236220,Southeast,SJTMX7Q65EH3
N6247794C0056,0,2002-10-31,1700,Z111,236220,Southeast,SNJKMKKA9LA1
PL000200210DGS02P02PLM0114,207,2002-10-15,4740,Z111,236220,Northeast,RMJUBLPHLFA1
SA000200210DGS05P00SAC0023,2000,2002-10-15,4740,6020,236220,Midwest,VDJXRPEGH8T3
UD000200210DGS07P03UDC0001,354067,2002-10-15,4740,Z111,236220,Southwest,V6HKCK56TE45
WL000200210DGS09P03WLC0001,6950,2002-10-15,4740,Z111,236220,West,GDMZLW53U2W5
03K0200211D5003H603001,592349,2002-11-15,12C2,Y169,236220,West,WLDASQUKLTA9
3K15200211D503K1522100,0,2002-11-15,12H2,Y199,236220,Southeast,KYNSLRR75J43
3K15200211D503K1530600,663933,2002-11-15,12H2,Y119,236220,Midwest,XJJ7EAKBH9M7
4283200211D50428331,679857,2002-11-15,12C2,Y199,236220,Southeast,QXMKA5CH3G17
82CS200211D5082X930014A,147000,2002-11-15,12C2,Y199,236220,West,TLAHLS8A7E73
82X9200211D5082X930014,0,2002-11-15,12C2,Y199,236220,West,TLAHLS8A7E73
84N8200211D5084N83002,1379700,2002-11-15,12C2,Y199,236220,West,L25KCTNLMJE5
DABK3703C0004,611000,2002-11-07,2100,Y159,236220,Southeast,KZZKD3T5ZJR2
DABK3703C0006,1492000,2002-11-06,2100,Z199,236220,Southeast,NCPJKC3DEA54
DABK3703C0008,764588,2002-11-15,2100,Z199,236220,Southeast,ED8HS4FCP5L5
DACA2103C0001,2046535,2002-11-12,2100,Z199,236220,Southeast,V2UAXCUYUEH6
EW000200211DGS04P02LCC0094,365590,2002-11-15,4740,Z111,236220,Southeast,HDN7QR4MCQP7
EW000200211DGS04P03RTC0014,74000,2002-11-15,4740,Z111,236220,Southeast,JLL4HC629SP3
F1162303C0002,988825,2002-11-26,5700,Z111,236220,Midwest,ZAXYJ6SXZKC4
F4560303C0001,939757,2002-11-15,5700,Z199,236220,West,YBZGKKUPSUD4
F4560303C0002,1520000,2002-11-14,5700,Z179,236220,West,W82WNX9ZBYJ8
F6550103C0004,577000,2002-11-19,5700,Y199,236220,West,DLWNB6CCX6P3
MDA94603C0006,4495,2002-11-12,97F5,Z111,236220,Southeast,HWKULQFVB7A3
N6246702C2051,516574,2002-11-12,1700,Y119,236220,Southeast,MMJFMSLBN668
N6246702C2052,390947,2002-11-13,1700,Z165,236220,Southeast,X17BRZLBN766
N6246795C2739,0,2002-11-04,1700,Z199,236220,Southeast,X4QQF9HL39Y7
N6247202C6508,0,2002-11-26,1700,Z159,236220,Northeast,N2LXJMB9LKD4
N6247298C5757,396505,2002-11-21,1700,Z111,236220,Northeast,ETGYGW1EBBV1
RU000200211DGS04P03LCC0005,261500,2002-11-15,4740,Z111,236220,Southeast,SAU5WRD62GW7
00262200212DV600C401,29706,2002-12-15,3600,Z141,236220,West,JBH2HD9FLWE8
00590200212DV246C00013,499420,2002-12-15,3600,Y141,236220,Southeast,KJVTN4GLDZZ6
00636200212DV636C1015,128565,2002-12-15,3600,Z149,236220,Midwest,GJWDPQ2EB6X7
0069D200212DV69DC5128A,220946,2002-12-15,3600,Z149,236220,Midwest,SG3GN6BBA5C9
30000200212DC3000030010,16000,2002-12-15,1443,Z111,236220,Southeast,CX94XWQUWHJ9
3604200212D5036043001,244900,2002-12-15,12C2,Z182,236220,Midwest,ESZAWJACFKC8
3K15200212D503K1530900,3696080,2002-12-13,12H2,Y199,236220,West,SZR4JDBCZYK9
65T0200212D5082X930019A,250973,2002-12-15,12C2,Y199,236220,Midwest,FWE3MRCS14R9
82PF200212D5082X930013A,70501,2002-12-15,12C2,Z139,236220,West,LFC2EE6YLVK3
82X9200212D5082X930013,0,2002-12-15,12C2,Z139,236220,West,LFC2EE6YLVK3
82X9200212D5082X930019,0,2002-12-15,12C2,Y199,236220,Midwest,FWE3MRCS14R9
DABJ0103C0012,7050,2002-12-03,2100,Z111,236220,Southeast,KE8ADEYMK7N8
DACA2702C0016,1977319,2002-12-05,2100,Y199,236220,Southwest,M6HMN2PKFHA3
DACA2703C0001,6391000,2002-12-19,2100,Z199,236220,West,GXLFMFL81MD3
DACA2703C0002,2439607,2002-12-20,2100,Y299,236220,Midwest,G7ZMCQYBPJW9
DACA3103C0005,1110959,2002-12-20,2100,Z159,236220,Northeast,NALLBVL1HRM4
DACA3103C0007,892097,2002-12-30,2100,Z199,236220,Southeast,RGEBUZNUW2S7
DACA4503C0002,7518736,2002-12-30,2100,Y164,236220,West,U7SVQXF6VRZ7
DACA6103C0001,1461395,2002-12-23,2100,Z219,236220,Southeast,E9DZZ985K5E3
DACA6503C0017,4604200,2002-12-20,2100,Y119,236220,Southeast,UVYYW25N13N3
DACA6503C0018,1932707,2002-12-20,2100,Y164,236220,Southeast,CNKPKNSMVWF8
DACA6703C0201,18514519,2002-12-27,2100,Y111,236220,West,GKD6KMJ8HQE7
DACA7803C0010,6444213,2002-12-31,2100,Y163,236220,Southeast,HW9NZYJARNA3
DACW3103C0003,1600000,2002-12-02,2100,Z299,236220,Southeast,D99PQ68JZ8N3
DACW4703C0001,37350000,2002-12-12,2100,Y131,236220,Southwest,GBL6KKLK8LP8
DAHA0403C0002,13934628,2002-12-09,2100,Z124,236220,West,DE6JFFZJ8EK3
DAKF1001C0050,0,2002-12-09,2100,Y111,236220,Southeast,E352L8BMZXB4
F1162303C0004,730000,2002-12-31,5700,Z111,236220,Midwest,F3LNEEFZDPM3
F1660203C0011,340000,2002-12-11,5700,Z161,236220,Southeast,VDPLK3JLU769
F3160103C0007,1179000,2002-12-16,5700,Z162,236220,Southwest,CA9KMFKBBM13
F4561303CB004,1462453,2002-12-08,5700,Z179,236220,West,WV1KCC1JMFL7
GY000200212DGS06P02GYD0006,1,2002-12-15,4740,Z111,236220,Midwest,QF5DP7DLDYJ7
HHSN292200300108C,97000,2002-12-13,7529,Y111,236220,Northeast,Z49WDBEF5MG3
LC000200212DGS04P03LCC0007,387952,2002-12-15,4740,Z111,236220,Southeast,QPY1WK62X2A3
MDA94603C0007,3086,2002-12-10,97F5,Z111,236220,Southeast,DA5ARHJK8Z37
MDA94603C0009,2911,2002-12-26,97F5,Z111,236220,Southeast,RJU8JFKF4D65
N6246700C0400,10250000,2002-12-20,1700,Z293,236220,Southeast,ZZT7V6DK4NK2
N6246703C2028,122371,2002-12-03,1700,Z111,236220,Southeast,X17BRZLBN766
N6247001C1097,3816100,2002-12-31,1700,Z162,236220,Southeast,LL9YWE8DY5T3
N6247002C6663,330256,2002-12-11,1700,Z153,236220,Southeast,VNMALLX58MC4
N6247099C4232,1112523,2002-12-19,1700,Z139,236220,Southeast,V2UAXCUYUEH6
N6247201C3539,652372,2002-12-02,1700,Y159,236220,Northeast,SJSGAMMN7L85
N6274203C1401,116911,2002-12-03,1700,Y182,236220,West,CMJCDMTNUHM8
N6274299C1344,2916866,2002-12-26,1700,Y152,236220,West,R9U3CNCG62U7
N6274299C1350,358754,2002-12-02,1700,Y249,236220,West,EFRKRJYXDNV3
PS000200212DGS03P03PSM0014,19000,2002-12-15,4740,Z111,236220,Northeast,ELCKGPK7B351
PS000200212DGS03P03PSM0020,9000,2002-12-15,4740,Z111,236220,Northeast,VL2KCQ6BAE48
RA000200212DGS04P02RAC0065,17240,2002-12-15,4740,Z111,236220,Midwest,TQ9EKSNLJD65
RA000200212DGS04P03RAC0015,252270,2002-12-15,4740,Z111,236220,Southeast,JLL4HC629SP3
00255200301DV255C5890196,195882,2003-01-15,3600,Z141,236220,Midwest,C74ZC1M25XJ8
00255200301DV255C5890197,1904311,2003-01-15,3600,Z141,236220,Midwest,ZUCMGBGL6GG8
00255200301DV255C589A501999,142718,2003-01-15,3600,Z149,236220,Midwest,MY19BAGJS415
00255200301DV255C589A50199,142718,2003-01-15,3600,Z149,236220,Midwest,MY19BAGJS415
00255200301DV255C589A60198,73500,2003-01-15,3600,Z149,236220,Midwest,MXNKE5JQ1828
00262200301DV664C403,97107,2003-01-15,3600,Z141,236220,West,Q5GYE3GDVT31
00436200301DV436C325,155051,2003-01-15,3600,Y149,236220,West,CNLCDJHKJB71
00503200301DV503C364,3435000,2003-01-15,3600,Z141,236220,Northeast,MXGDJEJKVRA3
00506200301DV506C718,214500,2003-01-15,3600,Z141,236220,Midwest,LPUKKMN2SM87
00564200301DV564C297,10600,2003-01-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
00564200301DV564C298,5800,2003-01-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
