Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($)
V596C1027,236220,2004-09-15,3600,Z141,Southeast,U5A1QFZYBMG3,969204,1,42765
VA528C0843,236220,2011-09-27,3600,Y141,Southeast,VUMCCBY7P4C5,319949,1,147769
47PM0517C0019,236220,2017-09-19,4740,Z2AA,Northeast,MGLYC7Q4PHW1,662601,11,1325055
47PD1018C0023,236220,2018-08-08,4740,Z2AA,Southeast,QP8VNJ36KNY4,21634,1,0
VA255C0020,236220,2006-07-30,3600,Z149,Midwest,HD1QGQ43VNW3,144893,0,0
W50S6L20C0011,236220,2020-09-27,2100,Y1AZ,West,CQVYCHZHHFW7,1529771,1,157552
V693C504,236220,2006-09-28,3600,Y142,Northeast,W27HWYZ1JFL1,329700,0,0
N4008517C8322,236220,2017-03-29,1700,Y1CA,Midwest,DMFWBVTL9324,40797000,24,3289650
47PM0423C0008,236220,2023-08-10,4740,Z2AA,Southeast,J7URCLDJ1FB1,419930,1,0
SRB1009C1005,236220,2009-08-25,1900,Y111,Southeast,LN9PU5M2YZN5,15200,0,0
36C78619C0151,236220,2019-09-20,3600,Y1AZ,Southeast,Z6ZVR3MXC9L4,1570000,9,146692
GS04P07EXC0125,236220,2008-02-25,4740,Z111,Southeast,X8A3F6NQNXK5,1295938,6,0
GS05P13STC0004,236220,2012-11-05,4740,Z2AA,Midwest,ZGYMCZK4Z8Z9,4812,0,0
W9127807C0033,236220,2007-06-07,2100,Y199,Southeast,EGHPHNK86JG4,6350000,8,218795
36C24619C0149,236220,2019-09-27,3600,Y1DA,Northeast,GVU3BGL273E3,82801,2,26054
N3319116C1027,236220,2016-07-21,1700,Y1JZ,Southwest,CNWQANWAYAL8,790800,1,0
W912QR12C0020,236220,2012-03-30,2100,Y1JZ,Southeast,S45UW8CRELQ5,34350000,47,1651988
36C25620C0075,236220,2020-03-06,3600,Y1DA,Southeast,JXV3U9RCELK4,798570,1,0
GS04P15RRP0025,236220,2015-08-20,4740,Z1AA,Southeast,ZQ2CCJ452CV9,3065,0,0
47PM1024C0004,236220,2023-11-01,4740,Z2AA,Southeast,H9WQUXTJLFZ9,2056854,1,0
VA247C0879,236220,2009-04-06,3600,Z141,Southeast,FAYAL13F2KB1,70910,0,0
W9128A14C0005,236220,2014-06-23,2100,Y1PZ,West,CLAXYN5FDP93,27345000,16,788363
W9127S07C6006,236220,2007-04-20,2100,Y129,Midwest,P78TR44HGNL6,11636450,18,154217
W912PL20C0030,236220,2020-08-06,2100,Y1BZ,Midwest,X3BYPXNZN8N1,34420210,26,1999533
2032H324C00021,236220,2024-08-06,2001,Z2AA,Southeast,FJEBF8Y9JUL6,828850,0,0
N4008009C4407,236220,2009-09-30,1700,Y119,Southeast,EL9XT4Q65F16,2351102,9,389406
W917PM06C0020,236220,2006-06-29,2100,C117,Southeast,LN9PU5M2YZN5,3349840,5,346258
W912ER14C0011,236220,2014-04-03,2100,Y1JZ,Southeast,HW9NZYJARNA3,6749291,1,0
W912DR20C0052,236220,2020-09-28,2100,Y1FA,Southeast,GR8LJ61N3PM5,10427213,21,2223252
SUG50014C0013,236220,2014-04-08,1900,Z1AA,Southeast,LN9PU5M2YZN5,149763,0,0
HSFLGL11C00012,236220,2011-09-20,7015,Y119,Southeast,GVLVJC4BLLA9,9082103,8,816052
VA259C0174,236220,2007-09-19,3600,Y141,West,CNLCDJHKJB71,241540,2,33575
GS04P05RAC3031,236220,2005-09-29,4740,Z111,Southwest,JF74C8PQZUM1,62258,1,0
W9124Q06C0502,236220,2005-11-16,2100,Y299,Southeast,LVWPXDUBLK96,156548,0,0
VA243RA0903,236220,2010-06-18,3600,Y149,Northeast,RG28FEAHNPK3,1365750,2,25484
36C24418C0264,236220,2018-09-12,3600,Y1DZ,Southeast,JASQS72WQ5D4,61700,2,26983
W912PL23C0021,236220,2023-09-27,2100,Z2EB,West,ND4WP6ASECK8,7071351,0,0
W9128F10C0013,236220,2010-03-22,2100,Y199,West,UTNAHHKD4LN5,8636000,30,1297816
AG32SDC140024,236220,2014-08-06,12H2,Z1AZ,Southwest,PXK5P2VU75E1,154265,0,0
47PF0019C0005,236220,2018-11-01,4740,Z2AA,Midwest,H8KMD811NZE3,5106927,45,937502
AG0281C090007,236220,2009-02-06,12C2,Y111,West,PJUXUM1DNHN3,3147400,18,314130
36C24718C0163,236220,2018-07-20,3600,Z1DA,Southeast,CJZ7EBXEUFG4,84728,0,0
VA262C0033,236220,2007-09-06,3600,Z141,West,DVQLEKBSV2P7,487097,0,0
W91B4P11C0076,236220,2011-09-07,2100,Y163,Southeast,LN9PU5M2YZN5,199282,2,100
W911QX22C0016,236220,2022-04-20,2100,Z2AA,Southeast,XHDBKA151ZA9,1338750,6,227732
W912QR11C0034,236220,2011-09-02,2100,Y199,West,L77GTD52MAJ5,1415698,1,0
GS09P14WLC0003,236220,2014-06-13,4740,Z2AA,West,E97XDFLWJDJ9,95118,4,34147
W912LA17C8002,236220,2017-07-06,2100,Y1JZ,West,YJGTUP1W3JX9,136034,2,30
W912DR24C0054,236220,2024-09-28,2100,Z2DB,Southeast,DDYGK4DF4626,1335313,0,0
47PL0119C0010,236220,2019-01-17,4740,Z2AA,West,NUSXWN6MXGL7,900982,4,93161
GS11P13ZGC0195,236220,2013-09-20,4740,B533,Southeast,FDGBG1T524E1,96000,2,0
GS11P15YEP0094,236220,2015-03-09,4740,Z2AA,Southeast,E35MEEVE78J5,33532,0,0
GS09P11WFC0018,236220,2011-06-03,4740,Z111,West,HBKJGRXCTK51,11709,0,0
GS09P10KLC0006,236220,2010-08-12,4740,Z111,West,FKMWECSN4983,205041,2,81248
AG82X9C060291,236220,2006-09-13,12C2,Y199,West,FWMEXMUL4GW6,535738,2,4369
W5J9JE12C0002,236220,2011-10-09,2100,Y1AA,Southeast,NN2NGPDNCK23,4577938,4,4477938
47PK0922C0022,236220,2022-09-27,4740,Z2AA,West,KH6BMLLAQSK8,94191,1,0
6973GH20C00104,236220,2020-09-14,6920,Z1BZ,West,X9UNMCNK3A64,118305,2,12348
GS05P05SVC0003,236220,2005-08-30,4740,Z111,Midwest,VLCCDCPWF9F2,969952,25,389755
W9124G17C0106,236220,2017-09-12,2100,5650,Southwest,KERHVSNXX3F8,59761,1,22969
47PM0223C0011,236220,2023-09-11,4740,Z2AA,Southeast,LEXXJ2VPF5J4,1319939,2,691000
FA440709C0035,236220,2009-09-30,5700,Y199,Midwest,FN7GJ7LGZBL5,52000,1,0
