Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
W5K9FH12C0131,2100,Empty,Empty,Empty
VA248C1477,3600,Empty,Empty,Empty
W5J9JE12C0119,2100,Empty,Empty,Empty
FA890317C0030,5700,Empty,Empty,Empty
GS06P10TEC0051,4740,Empty,Empty,Empty
W91B4N10C8256,2100,Empty,Empty,Empty
VA255C0049,3600,Empty,Empty,Empty
VA25915C0016,3600,Empty,Empty,Empty
36C77624C0125,3600,Empty,Empty,Empty
W917BK05C0031,2100,Empty,Empty,Empty
W9124Q07C0520,2100,Empty,Empty,Empty
FA255012C1026,5700,Empty,Empty,Empty
AG82FTC120009,12C2,Empty,Empty,Empty
N6247312C1423,1700,Empty,Empty,Empty
VA26113C0171,3600,Empty,Empty,Empty
DABK4103C0122,2100,Empty,Empty,Empty
W912DW13C0013,2100,Empty,Empty,Empty
HSCG8307C3WG261,7008,Empty,Empty,Empty
W912L608C0010,2100,Empty,Empty,Empty
W91ZRS16C0001,2100,Empty,Empty,Empty
W5J9JE12C0140,2100,Empty,Empty,Empty
19AQMM19C0156,1900,Empty,Empty,Empty
N6945019C6411,1700,Empty,Empty,Empty
W912QR11C0006,2100,Empty,Empty,Empty
697DCK24C00029,6920,Empty,Empty,Empty
VA26012C0020,3600,Empty,Empty,Empty
00436200301DV436C325,3600,Empty,Empty,Empty
N6247311C0203,1700,Empty,Empty,Empty
47PE0219C0018,4740,Empty,Empty,Empty
W912QR19C0036,2100,Empty,Empty,Empty
W9124724C0041,2100,Empty,Empty,Empty
W91B4M09C4096,2100,Empty,Empty,Empty
GS11P15YMC0131,4740,Empty,Empty,Empty
VA24917C0096,3600,Empty,Empty,Empty
GS09P12WMC0031,4740,Empty,Empty,Empty
GS09P06WBC3015,4740,Empty,Empty,Empty
GS08P15JEC7033,4740,Empty,Empty,Empty
GS09P09WMC0024,4740,Empty,Empty,Empty
TEPJ1501556,2041,Empty,Empty,Empty
VA528C0385,3600,Empty,Empty,Empty
VA26313C0110,3600,Empty,Empty,Empty
GS11P05MKC0038,4740,Empty,Empty,Empty
