,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,47PD1218C0015,4740,,,
1,140P6020C0003,1443,,,
2,W9128F19C0003,2100,,,
3,GS11P12MAC0180,4740,,,
4,HSCGBA05CBA030,7008,0,$0,0%
5,VA244C0750,3600,0,$0,0%
6,GS07P10UKP0139,4740,0,$0,0%
7,GS04P17EXC0034,4740,,,
8,GS06P17TDC0009,4740,,,
9,V259C0057,3600,0,$0,0%
10,63000200306DC6300030047,1443,0,$0,0%
11,447U200309D50447U3180,12C2,0,$0,0%
12,W912QR12C0085,2100,0,$0,0%
13,AG32SDC150043,12H2,,,
14,W9115117C0083,2100,0,$0,0%
15,VA25915C0306,3600,0,$0,0%
16,GS08P12JFC0101,4740,0,$0,0%
17,N4008509C7006,1700,Empty,Empty,Empty
18,FA486113CA019,5700,Empty,Empty,Empty
19,GS11P15YMC0134,4740,0,$0,0%
20,GS09P16WNC7009,4740,0,$0,0%
21,FA465915CC007,5700,Empty,Empty,Empty
22,DOLJ051A20215,1630,Empty,Empty,Empty
23,W912NR14C0005,2100,0,$0,0%
24,FA813720C0065,5700,Empty,Empty,Empty
25,VA24916C0196,3600,0,$0,0%
26,GS11P15YTC7018,4740,0,$0,0%
27,GS05P11SLC0087,4740,0,$0,0%
28,GS09P09KLC0010,4740,0,$0,0%
29,W56HZV09CL542,2100,0,$0,0%
30,W91GEU09C0004,2100,0,$0,0%
31,VA257C0576,3600,0,$0,0%
32,N6945017C0908,1700,Empty,Empty,Empty
33,FA462610C0004,5700,Empty,Empty,Empty
34,N6247307C1353,1700,Empty,Empty,Empty
35,N4008508C8102,1700,Empty,Empty,Empty
36,N4425506C2105,1700,Empty,Empty,Empty
37,FA700005C0027,5700,Empty,Empty,Empty
38,N6945012C5347,1700,Empty,Empty,Empty
39,AE1362304000020,1630,Empty,Empty,Empty
40,W917BG05C0142,2100,Empty,Empty,Empty
41,N0042122C0049,1700,Empty,Empty,Empty
42,70B01C23C00000142,7014,,,
43,W917BG06C0104,2100,0,$0,0%
44,W9126G13C0061,2100,0,$0,0%
45,W911SG06C0023,2100,0,$0,0%
46,VA241C83911,3600,,,
47,V629C90219,3600,0,$0,0%
48,GS06P04GYC0005,4740,0,$0,0%
49,47PE0618C0016,4740,,,
50,47PM0418C0022,4740,,,
51,GS03P13DXC0013,4740,0,$0,0%
52,GS07P09UYC0003,4740,0,$0,0%
53,47PM0423C0002,4740,,,
54,VA25611C1331,3600,4,"$913,402",61.1%
55,DTFANM08C00076,6920,0,$0,0%
56,GS11P17YTC0071,4740,,,
57,6973GH22C00168,6920,,,
58,W50S8R23C0001,2100,,,
59,GS11P07YTC0273,4740,0,$0,0%
60,47PK1723C0020,4740,,,
61,36C26224C0176,3600,0,$0,0%
62,140A2324C0034,1450,,,
63,N6247308C3523,1700,Empty,Empty,Empty
64,FA667023C0007,5700,Empty,Empty,Empty
65,FA850116C0021,5700,Empty,Empty,Empty
66,F1261703C0006,5700,Empty,Empty,Empty
67,FA663307C0001,5700,Empty,Empty,Empty
68,N6945023C0028,1700,Empty,Empty,Empty
69,FA570217C0014,5700,Empty,Empty,Empty
70,N4008013C2537,1700,Empty,Empty,Empty
71,W912PQ07C0020,2100,0,$0,0%
72,VA24917C0011,3600,,,
73,GS05P07SVC0009,4740,0,$0,0%
74,FA820109C0021,5700,Empty,Empty,Empty
75,FA485515C0050,5700,Empty,Empty,Empty
76,FA570712C0024,5700,Empty,Empty,Empty
