,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,W5K9FH12C0131,2100,0,$0,0%
1,VA248C1477,3600,0,$0,0%
2,W5J9JE12C0119,2100,0,$0,0%
3,FA890317C0030,5700,Empty,Empty,Empty
4,GS06P10TEC0051,4740,0,$0,0%
5,W91B4N10C8256,2100,0,$0,0%
6,VA255C0049,3600,Empty,Empty,Empty
7,VA25915C0016,3600,0,$0,0%
8,36C77624C0125,3600,0,$0,0%
9,W917BK05C0031,2100,0,$0,0%
10,W9124Q07C0520,2100,0,$0,0%
11,FA255012C1026,5700,Empty,Empty,Empty
12,AG82FTC120009,12C2,0,$0,0%
13,N6247312C1423,1700,Empty,Empty,Empty
14,VA26113C0171,3600,0,$0,0%
15,DABK4103C0122,2100,0,$0,0%
16,W912DW13C0013,2100,,,
17,HSCG8307C3WG261,7008,0,$0,0%
18,W912L608C0010,2100,0,$0,0%
19,W91ZRS16C0001,2100,Empty,Empty,Empty
20,W5J9JE12C0140,2100,0,$0,0%
21,19AQMM19C0156,1900,0,$0,0%
22,N6945019C6411,1700,Empty,Empty,Empty
23,W912QR11C0006,2100,0,$0,0%
24,697DCK24C00029,6920,,,
25,VA26012C0020,3600,0,$0,0%
26,00436200301DV436C325,3600,0,$0,0%
27,N6247311C0203,1700,Empty,Empty,Empty
28,47PE0219C0018,4740,,,
29,W912QR19C0036,2100,,,
30,W9124724C0041,2100,0,$0,0%
31,W91B4M09C4096,2100,0,$0,0%
32,GS11P15YMC0131,4740,0,$0,0%
33,VA24917C0096,3600,0,$0,0%
34,GS09P12WMC0031,4740,1,"$12,248",17.9%
35,GS09P06WBC3015,4740,0,$0,0%
36,GS08P15JEC7033,4740,0,$0,0%
37,GS09P09WMC0024,4740,0,$0,0%
38,TEPJ1501556,2041,0,$0,0%
39,VA528C0385,3600,0,$0,0%
40,VA26313C0110,3600,0,$0,0%
41,GS11P05MKC0038,4740,0,$0,0%
42,W9126G10C0059,2100,0,$0,0%
43,W5K9FH11C0051,2100,0,$0,0%
44,GS11P12MAC0351,4740,0,$0,0%
45,W912P424C0013,2100,0,$0,0%
46,W912DY19C0081,2100,,,
47,140P4318C0071,1443,,,
48,36C26024C0040,3600,0,$0,0%
49,W912PP10C0035,2100,0,$0,0%
50,GS08P12JBP0106,4740,0,$0,0%
51,W50S9C22C0003,2100,,,
52,W912DQ24C4004,2100,,,
53,V596C1027,3600,0,$0,0%
54,VA528C0843,3600,Empty,Empty,Empty
55,47PM0517C0019,4740,,,
56,47PD1018C0023,4740,,,
57,VA255C0020,3600,0,$0,0%
58,W50S6L20C0011,2100,,,
59,V693C504,3600,0,$0,0%
60,N4008517C8322,1700,Empty,Empty,Empty
61,47PM0423C0008,4740,,,
62,SRB1009C1005,1900,0,$0,0%
63,36C78619C0151,3600,0,$0,0%
64,GS04P07EXC0125,4740,0,$0,0%
65,GS05P13STC0004,4740,0,$0,0%
66,W9127807C0033,2100,0,$0,0%
67,36C24619C0149,3600,,,
68,N3319116C1027,1700,Empty,Empty,Empty
69,W912QR12C0020,2100,0,$0,0%
70,36C25620C0075,3600,0,$0,0%
71,GS04P15RRP0025,4740,0,$0,0%
72,47PM1024C0004,4740,,,
73,VA247C0879,3600,0,$0,0%
74,W9128A14C0005,2100,0,$0,0%
75,W9127S07C6006,2100,0,$0,0%
76,W912PL20C0030,2100,,,
77,2032H324C00021,2001,,,
78,N4008009C4407,1700,Empty,Empty,Empty
79,W917PM06C0020,2100,0,$0,0%
80,W912ER14C0011,2100,0,$0,0%
81,W912DR20C0052,2100,,,
82,SUG50014C0013,1900,0,$0,0%
83,HSFLGL11C00012,7015,10,$3.79 Million,38.3%
84,VA259C0174,3600,0,$0,0%
85,GS04P05RAC3031,4740,Empty,Empty,Empty
86,W9124Q06C0502,2100,0,$0,0%
87,VA243RA0903,3600,0,$0,0%
88,36C24418C0264,3600,0,$0,0%
89,W912PL23C0021,2100,,,
90,W9128F10C0013,2100,0,$0,0%
91,AG32SDC140024,12H2,0,$0,0%
92,47PF0019C0005,4740,,,
93,AG0281C090007,12C2,0,$0,0%
94,36C24718C0163,3600,Empty,Empty,Empty
95,GS09P11WFC0018,4740,0,$0,0%
96,GS09P10KLC0006,4740,0,$0,0%
97,AG82X9C060291,12C2,0,$0,0%
98,GS05P05SVC0003,4740,0,$0,0%
99,FA440709C0035,5700,Empty,Empty,Empty
100,N3319111C1718,1700,Empty,Empty,Empty
101,FA940104C0005,5700,Empty,Empty,Empty
102,47PK1518C0022,4740,,,
103,N4008509C2862,1700,Empty,Empty,Empty
104,W912DQ19C4008,2100,0,$0,0%
105,VA25914C0356,3600,0,$0,0%
106,GS09P07KLC0015,4740,0,$0,0%
107,FA283522C0025,5700,Empty,Empty,Empty
108,VA247C0806,3600,0,$0,0%
109,GS11P15YTC0151,4740,0,$0,0%
110,W917BG07C0048,2100,0,$0,0%
111,2032H323C00032,2001,,,
112,N4008019C1017,1700,Empty,Empty,Empty
113,VA243C0625,3600,0,$0,0%
114,GS06P08THC0011,4740,0,$0,0%
115,AG91S85091S842W03,12C2,,,
116,AG5680C070006,12C2,,,
117,W9124312C0500,2100,0,$0,0%
118,VA256C0376,3600,0,$0,0%
119,VA257C0577,3600,0,$0,0%
120,DTFASA17C00738,6920,,,
121,1333ND23CNB190021,1341,,,
122,SCH50015C2006,1900,0,$0,0%
123,36C24619C0095,3600,0,$0,0%
124,W90BRJ10C0022,2100,0,$0,0%
125,FA813720C0004,5700,Empty,Empty,Empty
126,W91B4M10C6516,2100,0,$0,0%
127,W911KB24C0020,2100,0,$0,0%
128,GS11P11YEC0120,4740,0,$0,0%
129,DACA5103C0006,2100,Empty,Empty,Empty
130,V247C04428A,3600,0,$0,0%
131,W9127804C0064,2100,0,$0,0%
132,W917PM09C0052,2100,0,$0,0%
133,GS09P17WNC0021,4740,,,
134,W9124722C0057,2100,0,$0,0%
135,0436CW10326,3300,0,$0,0%
136,W913FT06C0005,2100,Empty,Empty,Empty
137,N4008308C1027,1700,Empty,Empty,Empty
138,N6247313C1610,1700,Empty,Empty,Empty
139,AG32SCC150043,12H2,,,
140,V00241C00161,3600,0,$0,0%
141,W912HP20C3005,2100,,,
142,47PK1419C0001,4740,,,
143,75N99023C00045,7529,,,
144,INPC0700000119,1443,0,$0,0%
145,W912DR07C0059,2100,0,$0,0%
146,N6247314C0420,1700,Empty,Empty,Empty
147,FA860108C0029,5700,Empty,Empty,Empty
148,AG9A28C050004,12C2,0,$0,0%
149,GS11P08MAC0264,4740,0,$0,0%
150,VA52813C0157,3600,3,"$17,816",15.7%
151,DOLJ079626083,1631,0,$0,0%
152,W912QR13C0020,2100,0,$0,0%
153,VA26213C0059,3600,Empty,Empty,Empty
154,FA461017C0006,5700,Empty,Empty,Empty
155,47PF0019C0055,4740,,,
156,VA25616C0211,3600,Empty,Empty,Empty
157,INP16PC00579,1443,Empty,Empty,Empty
158,VA25610C1016,3600,0,$0,0%
159,N3319112C2019,1700,Empty,Empty,Empty
160,GS11P13MAP0129,4740,,,
161,VA256C1449,3600,0,$0,0%
162,SP470316C0014,97AS,Empty,Empty,Empty
163,47PD0518C0003,4740,,,
164,00581200309DV581C544,3600,Empty,Empty,Empty
165,47PM0518C0028,4740,,,
166,FA486108CA008,5700,Empty,Empty,Empty
167,INPC8000080919,1443,0,$0,0%
168,GS09P13WKC0026,4740,0,$0,0%
169,INP15PC00442,1443,0,$0,0%
170,47PM1018C0060,4740,,,
171,FA890323C0003,5700,Empty,Empty,Empty
172,SAQMMA16C0155,1900,,,
173,VA241C0769,3600,0,$0,0%
174,HHSD200201357108C,7523,Empty,Empty,Empty
175,75N99022C00045,7529,,,
176,VA262C0173,3600,Empty,Empty,Empty
177,FA468608C0020,5700,Empty,Empty,Empty
178,36E77619C0091,3600,Empty,Empty,Empty
179,N6246703C8837,1700,Empty,Empty,Empty
180,VA258C0179,3600,Empty,Empty,Empty
181,FA330009C0030,5700,Empty,Empty,Empty
182,V255C657A50344,3600,Empty,Empty,Empty
183,VA246C0614,3600,Empty,Empty,Empty
184,VA25112C0135,3600,Empty,Empty,Empty
185,W91B4M09C4104,2100,Empty,Empty,Empty
186,47PJ0018C0056,4740,Empty,Empty,Empty
187,47PD1218C0013,4740,Empty,Empty,Empty
188,V636C1044,3600,Empty,Empty,Empty
189,GS08P06JBC3032,4740,Empty,Empty,Empty
190,N4008016C0173,1700,Empty,Empty,Empty
191,GS11P12YTC0289,4740,Empty,Empty,Empty
192,W5J9JE11C0013,2100,Empty,Empty,Empty
193,47PK1918C0002,4740,Empty,Empty,Empty
194,FA308909C0001,5700,Empty,Empty,Empty
195,FA486109CA001,5700,Empty,Empty,Empty
196,36C26324C0087,3600,Empty,Empty,Empty
197,SAQMMA17C0136,1900,Empty,Empty,Empty
198,36C25922C0013,3600,Empty,Empty,Empty
199,N6274207C1308,1700,Empty,Empty,Empty
200,W9123819C0014,2100,Empty,Empty,Empty
201,140P6323C0008,1443,Empty,Empty,Empty
202,FA441710C0028,5700,Empty,Empty,Empty
203,FA667513C0010,5700,Empty,Empty,Empty
204,FA521520C0044,5700,Empty,Empty,Empty
205,N6945012C6847,1700,Empty,Empty,Empty
206,N4008520C0025,1700,Empty,Empty,Empty
207,N6247306C6684,1700,Empty,Empty,Empty
208,VA248C1521,3600,Empty,Empty,Empty
209,36C77624C0055,3600,Empty,Empty,Empty
210,W90U4210C4124,2100,Empty,Empty,Empty
