,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,6973GH19C00063,6920,,,
1,1605AE20C0011,1605,,,
2,GS10P13XFC0009,4740,0,$0,0%
3,N6247316C3212,1700,Empty,Empty,Empty
4,12305B20C0031,12H2,,,
5,N3319114C0642,1700,Empty,Empty,Empty
6,FA704606C0004,5700,Empty,Empty,Empty
7,GS03P09QFP0059,4740,0,$0,0%
8,GS04P13EXC0038,4740,0,$0,0%
9,N4008010C3056,1700,Empty,Empty,Empty
10,N4008009C1014,1700,Empty,Empty,Empty
11,SAU90010C0508,1900,0,$0,0%
12,W912PL19C0042,2100,0,$0,0%
13,FA875118C0006,5700,Empty,Empty,Empty
14,W9124719C0039,2100,,,
15,12405B23C0028,12H2,,,
16,36C24922C0071,3600,0,$0,0%
17,W9127S09C0033,2100,0,$0,0%
18,V636C1063,3600,Empty,Empty,Empty
19,47PM0518C0018,4740,,,
20,W912ER12C0038,2100,0,$0,0%
21,N4008012C1655,1700,Empty,Empty,Empty
22,W917BG09C0045,2100,0,$0,0%
23,HQ003420C0124,97F5,Empty,Empty,Empty
24,FA441706C0016,5700,Empty,Empty,Empty
25,GS08P13JBP0047,4740,0,$0,0%
26,N6247314C4407,1700,Empty,Empty,Empty
27,W912HN04C0040,2100,0,$0,0%
28,FA700013C0036,5700,Empty,Empty,Empty
29,V671C6438A,3600,0,$0,0%
30,GS09P03KTC0150,4740,0,$0,0%
31,FA440709C0040,5700,Empty,Empty,Empty
32,47PK0118C0010,4740,,,
33,FA813720C0014,5700,Empty,Empty,Empty
34,FA480324C0041,5700,Empty,Empty,Empty
35,47PE0224C0015,4740,,,
36,W91B4N12C8144,2100,0,$0,0%
37,W912BU17C0002,2100,0,$0,0%
38,SAQMMA12C0244,1900,0,$0,0%
39,36C24520C0178,3600,,,
40,V675C10251,3600,0,$0,0%
41,140P8320C0001,1443,Empty,Empty,Empty
42,W91GXE11C0007,2100,,,
43,36S79719C0010,3600,0,$0,0%
44,83600200305DC8360031102,1443,0,$0,0%
45,DTFAWP09C00088,6920,0,$0,0%
46,W912QR11C0010,2100,0,$0,0%
47,W912DY24C0076,2100,Empty,Empty,Empty
48,N6247311C0831,1700,Empty,Empty,Empty
49,W5K9FH12C0087,2100,0,$0,0%
50,W912J309C1002,2100,0,$0,0%
51,DTFACN13C00082,6920,0,$0,0%
52,FA461304C2004,5700,Empty,Empty,Empty
53,VA251C1107,3600,0,$0,0%
54,FA282310C0019,5700,Empty,Empty,Empty
55,00262200304DV691C4698A,3600,0,$0,0%
56,V69DC8188A,3600,0,$0,0%
57,HSCG8206C3WCA35,7008,0,$0,0%
58,SAQMMA09C0108,1900,0,$0,0%
59,W5K9FH11C0245,2100,0,$0,0%
60,W912LA13C0001,2100,0,$0,0%
61,NNS08AA63C,8000,0,$0,0%
62,N6247311C0603,1700,Empty,Empty,Empty
63,N6945017C5621,1700,Empty,Empty,Empty
64,VA25017C0221,3600,,,
65,36C25619C0133,3600,0,$0,0%
66,W912CF05C0027,2100,0,$0,0%
67,W917BG06C0105,2100,,,
68,FA481919CA039,5700,Empty,Empty,Empty
69,75N99024C00039,7529,,,
70,FA480311C0018,5700,Empty,Empty,Empty
71,VA24413C0309,3600,0,$0,0%
72,VA247RA1205,3600,0,$0,0%
73,N6945018C6008,1700,Empty,Empty,Empty
74,VA25913C0107,3600,0,$0,0%
75,W91B4N11C8076,2100,0,$0,0%
76,NMA40103C0016,97AB,Empty,Empty,Empty
77,36C24220C0044,3600,0,$0,0%
78,W912BV19C0017,2100,,,
79,00005200308D501813C037,1448,0,$0,0%
80,W912DR06C0056,2100,0,$0,0%
81,FA330008C0034,5700,Empty,Empty,Empty
82,W5J9JE12C0109,2100,0,$0,0%
83,W90YVD10C5019,2100,0,$0,0%
84,W9124L22C0006,2100,,,
