Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
6973GH19C00063,6920,Empty,Empty,Empty
1605AE20C0011,1605,Empty,Empty,Empty
GS10P13XFC0009,4740,Empty,Empty,Empty
N6247316C3212,1700,Empty,Empty,Empty
12305B20C0031,12H2,Empty,Empty,Empty
N3319114C0642,1700,Empty,Empty,Empty
FA704606C0004,5700,Empty,Empty,Empty
GS03P09QFP0059,4740,Empty,Empty,Empty
GS04P13EXC0038,4740,Empty,Empty,Empty
N4008010C3056,1700,Empty,Empty,Empty
N4008009C1014,1700,Empty,Empty,Empty
SAU90010C0508,1900,Empty,Empty,Empty
W912PL19C0042,2100,Empty,Empty,Empty
FA875118C0006,5700,Empty,Empty,Empty
W9124719C0039,2100,Empty,Empty,Empty
12405B23C0028,12H2,Empty,Empty,Empty
36C24922C0071,3600,Empty,Empty,Empty
W9127S09C0033,2100,Empty,Empty,Empty
V636C1063,3600,Empty,Empty,Empty
47PM0518C0018,4740,Empty,Empty,Empty
W912ER12C0038,2100,Empty,Empty,Empty
N4008012C1655,1700,Empty,Empty,Empty
W917BG09C0045,2100,Empty,Empty,Empty
HQ003420C0124,97F5,Empty,Empty,Empty
FA441706C0016,5700,Empty,Empty,Empty
GS08P13JBP0047,4740,Empty,Empty,Empty
N6247314C4407,1700,Empty,Empty,Empty
W912HN04C0040,2100,Empty,Empty,Empty
FA700013C0036,5700,Empty,Empty,Empty
V671C6438A,3600,Empty,Empty,Empty
GS09P03KTC0150,4740,Empty,Empty,Empty
FA440709C0040,5700,Empty,Empty,Empty
47PK0118C0010,4740,Empty,Empty,Empty
FA813720C0014,5700,Empty,Empty,Empty
FA480324C0041,5700,Empty,Empty,Empty
47PE0224C0015,4740,Empty,Empty,Empty
W91B4N12C8144,2100,Empty,Empty,Empty
W912BU17C0002,2100,Empty,Empty,Empty
SAQMMA12C0244,1900,Empty,Empty,Empty
36C24520C0178,3600,Empty,Empty,Empty
V675C10251,3600,Empty,Empty,Empty
140P8320C0001,1443,Empty,Empty,Empty
