Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
FA667015C0004,5700,Empty,Empty,Empty
N4008018C4432,1700,Empty,Empty,Empty
N4008012C3038,1700,Empty,Empty,Empty
140P3022C0013,1443,Empty,Empty,Empty
47PF0019C0100,4740,Empty,Empty,Empty
GS03P07QPP0078,4740,Empty,Empty,Empty
FA304710C0090,5700,Empty,Empty,Empty
1282A721C0065,12C2,Empty,Empty,Empty
FA466411C0004,5700,Empty,Empty,Empty
FA524023C0013,5700,Empty,Empty,Empty
F6550103C0004,5700,Empty,Empty,Empty
HQ009504C0032,97F5,Empty,Empty,Empty
INP16PC00570,1443,Empty,Empty,Empty
W911SA14C0006,2100,Empty,Empty,Empty
FA283514C0022,5700,Empty,Empty,Empty
FA441906C0002,5700,Empty,Empty,Empty
N6247308C7512,1700,Empty,Empty,Empty
FA500010C0046,5700,Empty,Empty,Empty
VA250C0396,3600,Empty,Empty,Empty
N4008509C2564,1700,Empty,Empty,Empty
VA26313C0228,3600,Empty,Empty,Empty
INP13PC00348,1443,Empty,Empty,Empty
W50S8T24C0002,2100,Empty,Empty,Empty
FA488724C0005,5700,Empty,Empty,Empty
FA302924C0004,5700,Empty,Empty,Empty
W9123618C0008,2100,Empty,Empty,Empty
FA301023C0014,5700,Empty,Empty,Empty
HHSD200201034902C,7523,Empty,Empty,Empty
W912JB16C8002,2100,Empty,Empty,Empty
36E77618C0039,3600,Empty,Empty,Empty
GS04P04LCC0053,4740,Empty,Empty,Empty
47PB0621C0003,4740,Empty,Empty,Empty
GS01P04BWC0125GSP0108NF0017,4740,Empty,Empty,Empty
SAQMMA09F1984,1900,Empty,Empty,Empty
FA462522C0014,5700,Empty,Empty,Empty
1333ND23CNB190048,1341,Empty,Empty,Empty
W91B4N10C8284,2100,Empty,Empty,Empty
12405B23C0036,12H2,Empty,Empty,Empty
6973GH23C00190,6920,Empty,Empty,Empty
W912BU19C0023,2100,Empty,Empty,Empty
INF15PC00035,1448,Empty,Empty,Empty
VA250RA0424,3600,Empty,Empty,Empty
00262200309DV664C4758A,3600,Empty,Empty,Empty
VA69DC0574,3600,Empty,Empty,Empty
W9123621C2013,2100,Empty,Empty,Empty
W912HP19C1000,2100,Empty,Empty,Empty
AE129880000320,1630,Empty,Empty,Empty
W911SA05C0005,2100,Empty,Empty,Empty
N6246706C8819,1700,Empty,Empty,Empty
509360401,1226,Empty,Empty,Empty
N4425503C1044,1700,Empty,Empty,Empty
N3319115C1221,1700,Empty,Empty,Empty
531A200303D5052B133026,12C2,Empty,Empty,Empty
47PK0521C0003,4740,Empty,Empty,Empty
W9127S11C6016,2100,Empty,Empty,Empty
N6945011C5085,1700,Empty,Empty,Empty
DESW0000020,8900,Empty,Empty,Empty
W50S8P20C0010,2100,Empty,Empty,Empty
W9115109C0057,2100,Empty,Empty,Empty
N4008015C0151,1700,Empty,Empty,Empty
GS02P09PWC0012,4740,Empty,Empty,Empty
GS10P11XAC0028,4740,Empty,Empty,Empty
FA704607C0002,5700,Empty,Empty,Empty
VA52812C0044,3600,Empty,Empty,Empty
W912HY10C0027,2100,Empty,Empty,Empty
N6945013C6345,1700,Empty,Empty,Empty
OPM3315C0004,2400,Empty,Empty,Empty
W912DR22C0028,2100,Empty,Empty,Empty
SALMEC06C0007,1900,Empty,Empty,Empty
GS04P17EXC0029,4740,Empty,Empty,Empty
47PK0921C0004,4740,Empty,Empty,Empty
VA24815C0122,3600,Empty,Empty,Empty
VA24513C0069,3600,Empty,Empty,Empty
GS02P98PWC0098,4740,Empty,Empty,Empty
GS09P06KTC3062,4740,Empty,Empty,Empty
AG4660C060011,12C2,Empty,Empty,Empty
N6247312C2211,1700,Empty,Empty,Empty
N6274219C1317,1700,Empty,Empty,Empty
V605C07528A,3600,Empty,Empty,Empty
SALMEC06C0036,1900,Empty,Empty,Empty
140P3022C0032,1443,Empty,Empty,Empty
VA26117C0233,3600,Empty,Empty,Empty
W912DS07C0008,2100,Empty,Empty,Empty
HM157505C0006,97AB,Empty,Empty,Empty
N4008508C2130,1700,Empty,Empty,Empty
VA24813C0081,3600,Empty,Empty,Empty
