Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0069D200305DV69DC5488A,3600,Empty,Empty,Empty
V664C05518A,3600,Empty,Empty,Empty
FA251718C5001,5700,Empty,Empty,Empty
NNS10AA37C,8000,Empty,Empty,Empty
FA570319C0052,5700,Empty,Empty,Empty
DACA2703C0008,2100,Empty,Empty,Empty
F1660203C0021,5700,Empty,Empty,Empty
V528A6C542,3600,Empty,Empty,Empty
GS04P16EXC7062,4740,Empty,Empty,Empty
W912GB05C0020,2100,Empty,Empty,Empty
VA255C0297,3600,Empty,Empty,Empty
V67390FP064,3600,Empty,Empty,Empty
F0436CW10145,3300,Empty,Empty,Empty
VA248C1113,3600,Empty,Empty,Empty
W912DQ13C4004,2100,Empty,Empty,Empty
VA26214C0117,3600,Empty,Empty,Empty
W9124A18C0010,2100,Empty,Empty,Empty
VA26312C0140,3600,Empty,Empty,Empty
47PK1719C0009,4740,Empty,Empty,Empty
VA256C0044,3600,Empty,Empty,Empty
89243319CFE000031,8900,Empty,Empty,Empty
GS09P12KLC0002,4740,Empty,Empty,Empty
VA25715C0060,3600,Empty,Empty,Empty
EPC07063,6800,Empty,Empty,Empty
VA25014C0095,3600,Empty,Empty,Empty
W9126G10C0057,2100,Empty,Empty,Empty
GS11P10MKC0072,4740,Empty,Empty,Empty
F0561103C0056,5700,Empty,Empty,Empty
GS11P03YEC0250,4740,Empty,Empty,Empty
W911S819C0012,2100,Empty,Empty,Empty
GS11P15YTP0177,4740,Empty,Empty,Empty
28321317C00060010,2800,Empty,Empty,Empty
VA528C0415,3600,Empty,Empty,Empty
GS09P06KLC3007,4740,Empty,Empty,Empty
VA259C0835,3600,Empty,Empty,Empty
VA24813C0273,3600,Empty,Empty,Empty
N4008012C1011,1700,Empty,Empty,Empty
697DCK22C00088,6920,Empty,Empty,Empty
AG569RC110042,12C2,Empty,Empty,Empty
W912JM05C0021,2100,Empty,Empty,Empty
FA282319CA072,5700,Empty,Empty,Empty
N4425518C7003,1700,Empty,Empty,Empty
47PM0220C0010,4740,Empty,Empty,Empty
W22G1F05C0007,2100,Empty,Empty,Empty
FA667018C0009,5700,Empty,Empty,Empty
DACA6303C0015,2100,Empty,Empty,Empty
W9123815C0020,2100,Empty,Empty,Empty
VA247C0762,3600,Empty,Empty,Empty
W91B4N11C8034,2100,Empty,Empty,Empty
N6945014C2760,1700,Empty,Empty,Empty
N4425515C7029,1700,Empty,Empty,Empty
W912PL19C0037,2100,Empty,Empty,Empty
W912PL23C0028,2100,Empty,Empty,Empty
W90WL512C0010,2100,Empty,Empty,Empty
70Z0G124CABCD0002,7008,Empty,Empty,Empty
FA570615C0029,5700,Empty,Empty,Empty
GS06P10TNC0048,4740,Empty,Empty,Empty
VA258C0404,3600,Empty,Empty,Empty
VA25615C0121,3600,Empty,Empty,Empty
GS11P07YTC0259,4740,Empty,Empty,Empty
W912DR24C0034,2100,Empty,Empty,Empty
N6945014C6080,1700,Empty,Empty,Empty
AG95CV5095CV50200,12H2,Empty,Empty,Empty
N3319111C1723,1700,Empty,Empty,Empty
36C24218C0049,3600,Empty,Empty,Empty
FA283515C0016,5700,Empty,Empty,Empty
75N99018C00013,7529,Empty,Empty,Empty
2032H323C00017,2001,Empty,Empty,Empty
N6945012C1262,1700,Empty,Empty,Empty
W912QR04C0013,2100,Empty,Empty,Empty
W5K9FH12C0184,2100,Empty,Empty,Empty
VA25613C0167,3600,Empty,Empty,Empty
W912DS23C0037,2100,Empty,Empty,Empty
75N99024C00075,7529,Empty,Empty,Empty
VA261C0019,3600,Empty,Empty,Empty
DOCSB134110CN0059,1341,Empty,Empty,Empty
W5K9FH12C0036,2100,Empty,Empty,Empty
GS09P16WBC7030,4740,Empty,Empty,Empty
GS08P04JBM0096,4740,Empty,Empty,Empty
N6247309C1840,1700,Empty,Empty,Empty
W917PM08C0058,2100,Empty,Empty,Empty
19AQMM22C0127,1900,Empty,Empty,Empty
GS11P14YEC0064,4740,Empty,Empty,Empty
W912HN05C0064,2100,Empty,Empty,Empty
W912QR09C0002,2100,Empty,Empty,Empty
VA25617C0077,3600,Empty,Empty,Empty
47PF0021C0029,4740,Empty,Empty,Empty
N4008009C4461,1700,Empty,Empty,Empty
W9136417C0002,2100,Empty,Empty,Empty
47PM1018C0035,4740,Empty,Empty,Empty
W9136409C0008,2100,Empty,Empty,Empty
697DCK18C00336,6920,Empty,Empty,Empty
VA539C0022,3600,Empty,Empty,Empty
INR08CC408246,1425,Empty,Empty,Empty
36C25820C0030,3600,Empty,Empty,Empty
W917BG06C0130,2100,Empty,Empty,Empty
W912EK20C0057,2100,Empty,Empty,Empty
GS10P05LTC0018,4740,Empty,Empty,Empty
W5K9FH11C0109,2100,Empty,Empty,Empty
36C25020C0156,3600,Empty,Empty,Empty
JB000200305DGS08P03JBD0070,4740,Empty,Empty,Empty
N6247002C2032,1700,Empty,Empty,Empty
GS05P05SIC0117,4740,Empty,Empty,Empty
36C25819C0081,3600,Empty,Empty,Empty
VA259C0365,3600,Empty,Empty,Empty
GS11P06YEC0222,4740,Empty,Empty,Empty
W5J9JE11C0100,2100,Empty,Empty,Empty
VA24814C0120,3600,Empty,Empty,Empty
47PG0918C0004,4740,Empty,Empty,Empty
VA250R0399,3600,Empty,Empty,Empty
VA52812C0191,3600,Empty,Empty,Empty
GS11P12NWC0052,4740,Empty,Empty,Empty
VA70113C0047,3600,Empty,Empty,Empty
GS11P14YEC0019,4740,Empty,Empty,Empty
47PM0520C0003,4740,Empty,Empty,Empty
W912KZ18C5001,2100,Empty,Empty,Empty
HSCG4108NQWY034,7008,Empty,Empty,Empty
W912JD12C0002,2100,Empty,Empty,Empty
W912DS13C0011,2100,Empty,Empty,Empty
W912P817C0029,2100,Empty,Empty,Empty
W912DS16C0005,2100,Empty,Empty,Empty
FA252110C0037,5700,Empty,Empty,Empty
DACA3103C0026,2100,Empty,Empty,Empty
36C24421C0065,3600,Empty,Empty,Empty
F0960903C0013,5700,Empty,Empty,Empty
VA24412C0473,3600,Empty,Empty,Empty
DTCG8304C3YD011,7008,Empty,Empty,Empty
GS04P10EXC0154,4740,Empty,Empty,Empty
W912PQ08C0021,2100,Empty,Empty,Empty
47PM1020C0019,4740,Empty,Empty,Empty
VA250RA0520,3600,Empty,Empty,Empty
47PF0021C0019,4740,Empty,Empty,Empty
W9124Q06C0162,2100,Empty,Empty,Empty
N6945009C4130,1700,Empty,Empty,Empty
W911S112C0043,2100,Empty,Empty,Empty
HHSI24620060003C,7527,Empty,Empty,Empty
W912DS20C0009,2100,Empty,Empty,Empty
W9126G23C0015,2100,Empty,Empty,Empty
W912QR16C0011,2100,Empty,Empty,Empty
140P1318D0003,1443,Empty,Empty,Empty
75N99020C00065,7529,Empty,Empty,Empty
VA251C0161,3600,Empty,Empty,Empty
36C77623C0164,3600,Empty,Empty,Empty
GS11P05YTC0046,4740,Empty,Empty,Empty
W912EP15C0024,2100,Empty,Empty,Empty
GS05P11FBC0033,4740,Empty,Empty,Empty
W912DR07C0069,2100,Empty,Empty,Empty
47PM0719C0008,4740,Empty,Empty,Empty
GS07P13UKP0027,4740,Empty,Empty,Empty
47PH0421C0001,4740,Empty,Empty,Empty
36C24219C0022,3600,Empty,Empty,Empty
VA69DC0585,3600,Empty,Empty,Empty
W911SA14C0002,2100,Empty,Empty,Empty
FA282306C0087,5700,Empty,Empty,Empty
VA248C1244,3600,Empty,Empty,Empty
N3319117C1224,1700,Empty,Empty,Empty
VA24512C0037,3600,Empty,Empty,Empty
FA890319C0003,5700,Empty,Empty,Empty
FA481922C0014,5700,Empty,Empty,Empty
W917BK05C0063,2100,Empty,Empty,Empty
W912DR15C0048,2100,Empty,Empty,Empty
N6927203C0013,1700,Empty,Empty,Empty
V605C7710,3600,Empty,Empty,Empty
V541C765,3600,Empty,Empty,Empty
FA281608C0007,5700,Empty,Empty,Empty
HHSF223201710213C,7524,Empty,Empty,Empty
36C25023C0201,3600,Empty,Empty,Empty
VA650C10383,3600,Empty,Empty,Empty
INR13PC20211,1425,Empty,Empty,Empty
W911YP13C2200,2100,Empty,Empty,Empty
W91QV119C0129,2100,Empty,Empty,Empty
VA251C0179,3600,Empty,Empty,Empty
V255C589A70352,3600,Empty,Empty,Empty
W52P1J18C5013,2100,Empty,Empty,Empty
140F0419C0002,1448,Empty,Empty,Empty
V756C01208A,3600,Empty,Empty,Empty
W917BE09C0023,2100,Empty,Empty,Empty
AG0489C100409,12C2,Empty,Empty,Empty
GS00P13CYC0064,4740,Empty,Empty,Empty
GS11P14ZGP0311,4740,Empty,Empty,Empty
W5J9JE12C0135,2100,Empty,Empty,Empty
FA281618C0005,5700,Empty,Empty,Empty
W50S8U22C0002,2100,Empty,Empty,Empty
V246C00201,3600,Empty,Empty,Empty
FA500009C0010,5700,Empty,Empty,Empty
FA468606C0005,5700,Empty,Empty,Empty
W91B4L16CRP00,2100,Empty,Empty,Empty
W5K9ZM10C0006,2100,Empty,Empty,Empty
W9128F08C0030,2100,Empty,Empty,Empty
VA247C0978,3600,Empty,Empty,Empty
W912HN10C0072,2100,Empty,Empty,Empty
GS10P13XCC0009,4740,Empty,Empty,Empty
W911S711C0038,2100,Empty,Empty,Empty
GS05P05GAC0009,4740,Empty,Empty,Empty
W912ER13C0027,2100,Empty,Empty,Empty
36C25023C0177,3600,Empty,Empty,Empty
140D0419C0103,1406,Empty,Empty,Empty
W91B4M09C7056,2100,Empty,Empty,Empty
GS08P10JBC0007,4740,Empty,Empty,Empty
N4008007C0521,1700,Empty,Empty,Empty
GS07P11HHC0003,4740,Empty,Empty,Empty
FA452811C3025,5700,Empty,Empty,Empty
VA241RA1994,3600,Empty,Empty,Empty
GS04P10EXC0162,4740,Empty,Empty,Empty
GS09P13WKC0009,4740,Empty,Empty,Empty
W5J9LE10C0038,2100,Empty,Empty,Empty
47PK0023C0003,4740,Empty,Empty,Empty
N3319118C0214,1700,Empty,Empty,Empty
N6274216C1325,1700,Empty,Empty,Empty
140L0620C0010,1422,Empty,Empty,Empty
140P5120C0034,1443,Empty,Empty,Empty
FA813720C0024,5700,Empty,Empty,Empty
DEFE0006402,8900,Empty,Empty,Empty
N4008011C4406,1700,Empty,Empty,Empty
47PK1723C0008,4740,Empty,Empty,Empty
GS10P09XJC0022,4740,Empty,Empty,Empty
V518C70006,3600,Empty,Empty,Empty
HSCG8304CDTCG8304C3YD011,7008,Empty,Empty,Empty
FA667512C0011,5700,Empty,Empty,Empty
FA452820C0009,5700,Empty,Empty,Empty
VA263C0004,3600,Empty,Empty,Empty
FA487712CC027,5700,Empty,Empty,Empty
N4008521C0008,1700,Empty,Empty,Empty
FA304708C0034,5700,Empty,Empty,Empty
FA330014C0043,5700,Empty,Empty,Empty
SIZ10013C0057,1900,Empty,Empty,Empty
INP15PC00475,1443,Empty,Empty,Empty
FA890317C0021,5700,Empty,Empty,Empty
W9124M08C0026,2100,Empty,Empty,Empty
CO950200309DCAP030455,1422,Empty,Empty,Empty
GS11P04YTC0318,4740,Empty,Empty,Empty
W9124Q09C0561,2100,Empty,Empty,Empty
VA262C0713,3600,Empty,Empty,Empty
GS10P12XJC0013,4740,Empty,Empty,Empty
DENA0003797,8900,Empty,Empty,Empty
N4425503C8003,1700,Empty,Empty,Empty
36C25818C0088,3600,Empty,Empty,Empty
89503322CWA000030,8900,Empty,Empty,Empty
W50S7Z22C0019,2100,Empty,Empty,Empty
N4008510C9441,1700,Empty,Empty,Empty
W9124722C0044,2100,Empty,Empty,Empty
W912R113C0007,2100,Empty,Empty,Empty
140P5323C0074,1443,Empty,Empty,Empty
GS11P16YTC7153,4740,Empty,Empty,Empty
W912BV17C0004,2100,Empty,Empty,Empty
W9128F10C0005,2100,Empty,Empty,Empty
FA330017C0042,5700,Empty,Empty,Empty
AG447UC170036,12C2,Empty,Empty,Empty
36C24220C0192,3600,Empty,Empty,Empty
W912DR20C0060,2100,Empty,Empty,Empty
FA486106CA005,5700,Empty,Empty,Empty
140R4023C0001,1425,Empty,Empty,Empty
W90BRJ10C0023,2100,Empty,Empty,Empty
2032H323C00002,2001,Empty,Empty,Empty
SAQMMA07C0056,1900,Empty,Empty,Empty
47PJ0022C0037,4740,Empty,Empty,Empty
VA250C0550,3600,Empty,Empty,Empty
DJBP0202M3A30003,1540,Empty,Empty,Empty
W91B4P11C0041,2100,Empty,Empty,Empty
W912CL07C2812,2100,Empty,Empty,Empty
GS06P12TNC0004,4740,Empty,Empty,Empty
SALMEC03C0045,1900,Empty,Empty,Empty
GS03P08DXC0053,4740,Empty,Empty,Empty
GS04P09RTP0010,4740,Empty,Empty,Empty
SGE50007C1158,1900,Empty,Empty,Empty
N6895003C0029,1700,Empty,Empty,Empty
INPC2011080519,1443,Empty,Empty,Empty
AG3K15C090012,12H2,Empty,Empty,Empty
N6247316C4601,1700,Empty,Empty,Empty
N6274218C1304,1700,Empty,Empty,Empty
FA441818C0005,5700,Empty,Empty,Empty
N6945018C6421,1700,Empty,Empty,Empty
36C24223C0020,3600,Empty,Empty,Empty
N6247312C4014,1700,Empty,Empty,Empty
N4008008C3511,1700,Empty,Empty,Empty
FA330009C0047,5700,Empty,Empty,Empty
W912DR20C0027,2100,Empty,Empty,Empty
F0260403C0063,5700,Empty,Empty,Empty
W917BE06C0008,2100,Empty,Empty,Empty
VA26113C0145,3600,Empty,Empty,Empty
36C24418C0284,3600,Empty,Empty,Empty
W912QR10C0076,2100,Empty,Empty,Empty
N4008013C2545,1700,Empty,Empty,Empty
F0462603C0107,5700,Empty,Empty,Empty
V600C05468A,3600,Empty,Empty,Empty
N6247313C0206,1700,Empty,Empty,Empty
VA251C0803,3600,Empty,Empty,Empty
W9115108C0045,2100,Empty,Empty,Empty
N4008009C1045,1700,Empty,Empty,Empty
V247C02658A,3600,Empty,Empty,Empty
GS01P05BZC3010,4740,Empty,Empty,Empty
GB000200307DGS05P02GBC0089,4740,Empty,Empty,Empty
36C25018C0223,3600,Empty,Empty,Empty
140L0624C0032,1422,Empty,Empty,Empty
VA262C1017,3600,Empty,Empty,Empty
W91B4M09C7177,2100,Empty,Empty,Empty
FA820116C0037,5700,Empty,Empty,Empty
140P2024C0054,1443,Empty,Empty,Empty
N4008509C2431,1700,Empty,Empty,Empty
N6238103C1012,1700,Empty,Empty,Empty
AE103320020,1630,Empty,Empty,Empty
24361818C0002,2400,Empty,Empty,Empty
FA810117C0036,5700,Empty,Empty,Empty
N4008524C0040,1700,Empty,Empty,Empty
W9128A04C0002,2100,Empty,Empty,Empty
47PD1022C0005,4740,Empty,Empty,Empty
DJBP0700COBO071,1540,Empty,Empty,Empty
75D30124C19446,7523,Empty,Empty,Empty
W9127818C0033,2100,Empty,Empty,Empty
47PD0223C0014,4740,Empty,Empty,Empty
W5J9LE12C0055,2100,Empty,Empty,Empty
N4008008C1069,1700,Empty,Empty,Empty
N4008008C0001,1700,Empty,Empty,Empty
N6945009C6339,1700,Empty,Empty,Empty
N4008524C0026,1700,Empty,Empty,Empty
W91QV107C0052,2100,Empty,Empty,Empty
FA460005C0008,5700,Empty,Empty,Empty
W912QR20C0054,2100,Empty,Empty,Empty
FA252104C0023,5700,Empty,Empty,Empty
V671C6758A,3600,Empty,Empty,Empty
AG9A63C100077,12C2,Empty,Empty,Empty
47PL0122C0013,4740,Empty,Empty,Empty
W50SLF23C0005,2100,Empty,Empty,Empty
INL07PC02339,1422,Empty,Empty,Empty
INP12PC00231,1443,Empty,Empty,Empty
47PK0922C0012,4740,Empty,Empty,Empty
70B01C19C00000125,7014,Empty,Empty,Empty
47PD0318C0007,4740,Empty,Empty,Empty
VA251C0112,3600,Empty,Empty,Empty
36E77619C0057,3600,Empty,Empty,Empty
GS09P09WNC0022,4740,Empty,Empty,Empty
FA283524C0006,5700,Empty,Empty,Empty
70B01C24C00000073,7014,Empty,Empty,Empty
W91QVP09C2001,2100,Empty,Empty,Empty
VA255C0423,3600,Empty,Empty,Empty
VA25012C0085,3600,Empty,Empty,Empty
36C24918C0057,3600,Empty,Empty,Empty
36C24921C0095,3600,Empty,Empty,Empty
VA25016C0102,3600,Empty,Empty,Empty
75D30120C08130,7523,Empty,Empty,Empty
GS04P16EXC7011,4740,Empty,Empty,Empty
VA52814C0033,3600,Empty,Empty,Empty
N4008508C2602,1700,Empty,Empty,Empty
HQ003408L1044,97F5,Empty,Empty,Empty
VA263C0496,3600,Empty,Empty,Empty
W91B4N10C8278,2100,Empty,Empty,Empty
