,Unnamed: 0,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,0,GS11P14MAP0340,4740,0,$0,0%
1,1,IND0407CT66810,1406,0,$0,0%
2,2,W912LD06C0036,2100,0,$0,0%
3,3,GS11P06ZGC0339,4740,0,$0,0%
4,4,HHSD200200618928C,7523,0,$0,0%
5,5,VA25616C0188,3600,0,$0,0%
6,6,GS11P16MKC7121,4740,,,
7,7,VA69DC0517,3600,0,$0,0%
8,8,W919QA10C0051,2100,0,$0,0%
9,9,GS04P06EXC0050,4740,0,$0,0%
10,10,AG4431C100020,12H2,0,$0,0%
11,11,W5K9FH11C0238,2100,0,$0,0%
12,12,6923G220C000007,6938,,,
13,13,W912DS22C0002,2100,,,
14,14,GS11P17NWC0047,4740,Empty,Empty,Empty
15,15,VA25912C0310,3600,0,$0,0%
16,16,W912DY16C0034,2100,,,
17,17,00678200309DV678C7908A,3600,0,$0,0%
18,18,W912PL09C0014,2100,0,$0,0%
19,19,W91B4K09C5077,2100,Empty,Empty,Empty
20,20,GS01P10BZC0004,4740,0,$0,0%
21,21,W912JM10C0032,2100,0,$0,0%
22,22,F07CC10507,3300,,,
23,23,GS11P11ZGC0239,4740,0,$0,0%
24,24,2031ZA24C00462,2041,,,
25,25,47PE0119C0007,4740,,,
26,26,GS11P09NWC0016,4740,Empty,Empty,Empty
27,27,VA101F16C2784,3600,0,$0,0%
28,28,47PE0221C0004,4740,,,
29,29,W912DR17C0067,2100,0,$0,0%
30,30,W912PL23C0009,2100,0,$0,0%
31,31,INPC8650060006,1443,0,$0,0%
32,32,VA250C0111,3600,0,$0,0%
33,33,VA261C0296,3600,0,$0,0%
34,34,W9124N10C0024,2100,0,$0,0%
35,35,GS04P05CXC0017,4740,0,$0,0%
36,36,W91ZRS10C0015,2100,0,$0,0%
37,37,GS09P10WLC0019,4740,0,$0,0%
38,38,VA24913C0164,3600,0,$0,0%
39,39,N6945018C7211,1700,Empty,Empty,Empty
40,40,36C25923C0022,3600,0,$0,0%
41,41,V69DC715,3600,0,$0,0%
42,42,FA480015C0012,5700,Empty,Empty,Empty
43,43,VA259C0154,3600,0,$0,0%
44,44,GS11P12YEC0101,4740,0,$0,0%
45,45,FA452814C3001,5700,Empty,Empty,Empty
46,46,1305M219CNWWX0040,1330,,,
47,47,GS08P12VEC0013,4740,0,$0,0%
48,48,1282CS19C0011,12C2,,,
49,49,W912L104C0040,2100,0,$0,0%
50,50,W9127S11C6005,2100,,,
51,51,W917BK05C0023,2100,0,$0,0%
52,52,W5J9JE11C0218,2100,0,$0,0%
53,53,GS11P11MAM0257,4740,0,$0,0%
54,54,GS08P13JBP0062,4740,0,$0,0%
55,55,GS11P07ZGC0198,4740,0,$0,0%
56,56,47PF0018C0156,4740,0,$0,0%
57,57,47PJ0022C0038,4740,,,
58,58,AG32SCC120021,12H2,0,$0,0%
59,59,N6945011C6346,1700,Empty,Empty,Empty
60,60,GS11P16YTC7001,4740,,,
61,61,W912PL07C0028,2100,0,$0,0%
62,62,HSCG8306C3WF040,7008,,,
63,63,70000200306D387110215,1540,,,
64,64,W912QR06C0046,2100,,,
65,65,AG95CVC080011,12H2,Empty,Empty,Empty
66,66,AG92X95082X940181,12C2,Empty,Empty,Empty
67,67,140R1022C0006,1425,Empty,Empty,Empty
68,68,47PE0724C0007,4740,Empty,Empty,Empty
69,69,W50S7Z22C0016,2100,Empty,Empty,Empty
70,70,GS03P16QKC7053,4740,Empty,Empty,Empty
71,71,N0042123C0046,1700,Empty,Empty,Empty
72,72,GS03P16QAC7029,4740,Empty,Empty,Empty
73,73,W9126G12C0064,2100,Empty,Empty,Empty
74,74,W5J9JE10C0026,2100,Empty,Empty,Empty
75,75,GS05P16SVC7026,4740,Empty,Empty,Empty
76,76,W50S9120C0003,2100,Empty,Empty,Empty
77,77,36C25523C0103,3600,Empty,Empty,Empty
78,78,W91QV115C0132,2100,Empty,Empty,Empty
79,79,W912KC04C0018,2100,Empty,Empty,Empty
80,80,W912QR05C0024,2100,Empty,Empty,Empty
81,81,SPK33011C5544M001,1900,Empty,Empty,Empty
82,82,W9128F15C0042,2100,Empty,Empty,Empty
