,Unnamed: 0,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
83,83,3615200309D50361530300,12H2,Empty,Empty,Empty
84,84,47PA0318C0018,4740,Empty,Empty,Empty
85,85,47PG0422C0006,4740,Empty,Empty,Empty
86,86,5680200308D50568030484,12C2,Empty,Empty,Empty
87,87,W912BU09C0057,2100,Empty,Empty,Empty
88,88,INPC2011100614,1443,Empty,Empty,Empty
89,89,GS10P05XFC0022,4740,Empty,Empty,Empty
90,90,V244C00130,3600,Empty,Empty,Empty
91,91,GS09P09WMC0017,4740,Empty,Empty,Empty
92,92,GS03P10QKC0022,4740,Empty,Empty,Empty
93,93,INP11PC60632,1443,Empty,Empty,Empty
94,94,W912NR15C0002,2100,Empty,Empty,Empty
95,95,W912LA18C8001,2100,Empty,Empty,Empty
96,96,GS04P05RAC0014,4740,Empty,Empty,Empty
97,97,W911YP08C0007,2100,Empty,Empty,Empty
98,98,W917PM07C0087,2100,Empty,Empty,Empty
99,99,SAF20010C2247,1900,Empty,Empty,Empty
100,100,VA259C0831,3600,Empty,Empty,Empty
101,101,VA24514C0102,3600,Empty,Empty,Empty
102,102,W9126G15C0251,2100,Empty,Empty,Empty
103,103,GS06P11TNC0011,4740,Empty,Empty,Empty
104,104,19AQMM21C0101,1900,Empty,Empty,Empty
105,105,12FPC322C0002,12D0,Empty,Empty,Empty
106,106,75H70122C00013,7527,Empty,Empty,Empty
107,107,VA261C0447,3600,Empty,Empty,Empty
108,108,W9126G09C0066,2100,Empty,Empty,Empty
109,109,FA486124C0028,5700,Empty,Empty,Empty
110,110,INLNDC070039,1422,Empty,Empty,Empty
111,111,GS09P14WFC0032,4740,Empty,Empty,Empty
112,112,47PD0218C0021,4740,Empty,Empty,Empty
113,113,AG32KWC150031,12K3,Empty,Empty,Empty
114,114,F11CC10487,3300,Empty,Empty,Empty
115,115,N6274214C1312,1700,Empty,Empty,Empty
116,116,2031ZA22C00473,2041,Empty,Empty,Empty
117,117,W91B4P12C0050,2100,Empty,Empty,Empty
118,118,INF13PC00300,1448,Empty,Empty,Empty
119,119,W912DR09C0053,2100,Empty,Empty,Empty
120,120,HQ003409L3014,97F5,Empty,Empty,Empty
121,121,F0336CC10494,3300,Empty,Empty,Empty
122,122,GS04P07RAC0127,4740,Empty,Empty,Empty
123,123,GS08P12JBP0063,4740,Empty,Empty,Empty
124,124,W50S7J20C0002,2100,Empty,Empty,Empty
125,125,VA255C0812,3600,Empty,Empty,Empty
126,126,36C25020C0195,3600,Empty,Empty,Empty
127,127,FA302924C0005,5700,Empty,Empty,Empty
128,128,W912QR24C0004,2100,Empty,Empty,Empty
129,129,W9126G19C0162,2100,Empty,Empty,Empty
130,130,47PB0618C0006,4740,Empty,Empty,Empty
131,131,FA441705C0007,5700,Empty,Empty,Empty
132,132,AG5114C060004,12H2,Empty,Empty,Empty
133,133,W9124709C0038,2100,Empty,Empty,Empty
134,134,FA480107C0012,5700,Empty,Empty,Empty
135,135,W90YVD10C7013,2100,Empty,Empty,Empty
136,136,GS03P06QPM0028,4740,Empty,Empty,Empty
137,137,N6247309C3433,1700,Empty,Empty,Empty
138,138,W9124N10C0025,2100,Empty,Empty,Empty
139,139,N6945017C5631,1700,Empty,Empty,Empty
140,140,W912DR18C0062,2100,Empty,Empty,Empty
141,141,697DCK22C00211,6920,Empty,Empty,Empty
142,142,GS02P16PEC7002,4740,Empty,Empty,Empty
143,143,W9128F20C0038,2100,Empty,Empty,Empty
144,144,W917BK07C0032,2100,Empty,Empty,Empty
145,145,47PE0219C0049,4740,Empty,Empty,Empty
146,146,GS09P07WBC0008,4740,0,$0,0%
147,147,123K2518C0002,12H2,,,
148,148,36C26223C0146,3600,0,$0,0%
149,149,FA481922C0040,5700,Empty,Empty,Empty
150,150,140P6423C0018,1443,,,
151,151,VA247C1595,3600,,,
152,152,GS11P09YAC0023,4740,Empty,Empty,Empty
153,153,HHSN292201200009C,7529,,,
154,154,V688C40590,3600,0,$0,0%
155,155,47PE0617C0003,4740,,,
156,156,GS05P08SEC0016,4740,0,$0,0%
157,157,W9136404C0006,2100,,,
158,158,INPC630005M119,1443,0,$0,0%
159,159,HSCG3107N6SA744,7008,,,
160,160,DABK3303C0007,2100,,,
161,161,FA488704C0045,5700,Empty,Empty,Empty
162,162,V255C589A10343,3600,0,$0,0%
163,163,36C25022C0256,3600,,,
164,164,W912DR08C0091,2100,0,$0,0%
165,165,TOS16F0015,2001,,,
166,166,W912CF07C0010,2100,Empty,Empty,Empty
167,167,W91JA411C7109,2100,0,$0,0%
168,168,W912QR14C0027,2100,40,$11.68 Million,162.1%
169,169,W91JA411C7057,2100,0,$0,0%
170,170,W912BU20C0021,2100,0,$0,0%
171,171,VA69DRA1353,3600,0,$0,0%
172,172,VA246RA0552,3600,Empty,Empty,Empty
173,173,GS06P17TKC0001,4740,,,
174,174,N6247313C4212,1700,Empty,Empty,Empty
175,175,N6927203C0029,1700,Empty,Empty,Empty
176,176,W91B4P12C0057,2100,0,$0,0%
177,177,W9124Q10C0545,2100,,,
178,178,F13CC10079,3300,0,$0,0%
179,179,N6247311C2019,1700,Empty,Empty,Empty
180,180,W91B4M09C7314,2100,Empty,Empty,Empty
181,181,VA248C1296,3600,0,$0,0%
182,182,VA26314C0082,3600,0,$0,0%
183,183,FA252111C0044,5700,Empty,Empty,Empty
184,184,VA26316C0093,3600,0,$0,0%
185,185,36C25619C0115,3600,,,
186,186,697DCK24C00237,6920,,,
187,187,VA24414C0378,3600,Empty,Empty,Empty
188,188,W50S7S22C0002,2100,Empty,Empty,Empty
189,189,W919QA10C0021,2100,,,
190,190,FA461019CA007,5700,Empty,Empty,Empty
191,191,36C25922C0045,3600,Empty,Empty,Empty
192,192,V666C341,3600,Empty,Empty,Empty
193,193,DJFJFBI09006,1549,Empty,Empty,Empty
194,194,VA247C0823,3600,,,
195,195,W9126G12C0014,2100,Empty,Empty,Empty
196,196,47PD0521C0001,4740,,,
197,197,V692C464,3600,Empty,Empty,Empty
198,198,N6246705C3740,1700,Empty,Empty,Empty
199,199,W5J9JE15C0030,2100,Empty,Empty,Empty
200,200,VA258C0186,3600,0,$0,0%
201,201,SP470220C0012,97AS,Empty,Empty,Empty
202,202,N4008518C3018,1700,Empty,Empty,Empty
203,203,W912DQ09C4005,2100,0,$0,0%
204,204,47PA0322C0005,4740,,,
205,205,W91B4M09C7110,2100,0,$0,0%
206,206,W9126G22C0045,2100,,,
207,207,15BFA023C00000026,1540,,,
208,208,W912BV08C2007,2100,0,$0,0%
209,209,HSCG8208C3WCA52,7008,0,$0,0%
210,210,VA248C1259,3600,0,$0,0%
211,211,GS10P11XJP0034,4740,,,
212,212,GS09P12WNC0004,4740,0,$0,0%
213,213,N6247099C9123,1700,Empty,Empty,Empty
214,214,VA24813C0020,3600,0,$0,0%
215,215,FA670318C0010,5700,Empty,Empty,Empty
216,216,W9124A23C0010,2100,0,$0,0%
217,217,W50S7524C0005,2100,Empty,Empty,Empty
218,218,FA480304C9017,5700,Empty,Empty,Empty
219,219,VA25612C0264,3600,0,$0,0%
220,220,VA24914C0053,3600,,,
221,221,70CMSW24C00000027,7012,,,
222,222,140P2019C0041,1443,Empty,Empty,Empty
223,223,47PM0220C0007,4740,Empty,Empty,Empty
224,224,FA667512C0013,5700,Empty,Empty,Empty
225,225,47PD0622C0007,4740,Empty,Empty,Empty
226,226,W912PP19C0020,2100,Empty,Empty,Empty
227,227,W912PP10C0036,2100,Empty,Empty,Empty
228,228,W912PL16C0022,2100,Empty,Empty,Empty
229,229,SP470213C1028,97AS,Empty,Empty,Empty
230,230,W50S6U24C0001,2100,Empty,Empty,Empty
231,231,GS11P07YTC0458,4740,Empty,Empty,Empty
232,232,47PM1018C0054,4740,Empty,Empty,Empty
233,233,AG4431C080002,12H2,Empty,Empty,Empty
234,234,V600C0555,3600,Empty,Empty,Empty
235,235,FA521521C0004,5700,Empty,Empty,Empty
236,236,47PB0418C0011,4740,Empty,Empty,Empty
237,237,GS11P07YEC0133,4740,Empty,Empty,Empty
238,238,0069D200305DV69DC5488A,3600,Empty,Empty,Empty
239,239,V664C05518A,3600,Empty,Empty,Empty
240,240,FA251718C5001,5700,Empty,Empty,Empty
241,241,NNS10AA37C,8000,Empty,Empty,Empty
242,242,FA570319C0052,5700,Empty,Empty,Empty
243,243,DACA2703C0008,2100,Empty,Empty,Empty
244,244,F1660203C0021,5700,Empty,Empty,Empty
245,245,V528A6C542,3600,Empty,Empty,Empty
246,246,GS04P16EXC7062,4740,Empty,Empty,Empty
247,247,W912GB05C0020,2100,Empty,Empty,Empty
248,248,VA255C0297,3600,Empty,Empty,Empty
249,249,V67390FP064,3600,Empty,Empty,Empty
250,250,F0436CW10145,3300,Empty,Empty,Empty
251,251,VA248C1113,3600,Empty,Empty,Empty
252,252,W912DQ13C4004,2100,Empty,Empty,Empty
253,253,VA26214C0117,3600,Empty,Empty,Empty
254,254,W9124A18C0010,2100,Empty,Empty,Empty
255,255,VA26312C0140,3600,Empty,Empty,Empty
256,256,47PK1719C0009,4740,Empty,Empty,Empty
257,257,VA256C0044,3600,Empty,Empty,Empty
258,258,89243319CFE000031,8900,Empty,Empty,Empty
259,259,GS09P12KLC0002,4740,Empty,Empty,Empty
260,260,VA25715C0060,3600,Empty,Empty,Empty
261,261,EPC07063,6800,Empty,Empty,Empty
262,262,VA25014C0095,3600,Empty,Empty,Empty
263,263,W9126G10C0057,2100,Empty,Empty,Empty
264,264,GS11P10MKC0072,4740,Empty,Empty,Empty
265,265,F0561103C0056,5700,Empty,Empty,Empty
266,266,GS11P03YEC0250,4740,Empty,Empty,Empty
267,267,W911S819C0012,2100,Empty,Empty,Empty
268,268,GS11P15YTP0177,4740,Empty,Empty,Empty
269,269,28321317C00060010,2800,Empty,Empty,Empty
270,270,VA528C0415,3600,Empty,Empty,Empty
271,271,GS09P06KLC3007,4740,Empty,Empty,Empty
272,272,VA259C0835,3600,Empty,Empty,Empty
273,273,VA24813C0273,3600,Empty,Empty,Empty
274,274,N4008012C1011,1700,Empty,Empty,Empty
275,275,697DCK22C00088,6920,Empty,Empty,Empty
276,276,AG569RC110042,12C2,Empty,Empty,Empty
277,277,W912JM05C0021,2100,Empty,Empty,Empty
278,278,VA538C0020,3600,,,
279,279,GS11P10YEC0176,4740,,,
280,280,FA282319CA072,5700,Empty,Empty,Empty
281,281,N4425518C7003,1700,Empty,Empty,Empty
282,282,47PM0220C0010,4740,Empty,Empty,Empty
283,283,W9127804C0010,2100,0,$0,0%
284,284,DTFAGL09C00299,6920,,,
285,285,W912JM09C0024,2100,0,$0,0%
286,286,W22G1F05C0007,2100,Empty,Empty,Empty
287,287,AG4660C060028,12C2,0,$0,0%
288,288,V552C11108A,3600,0,$0,0%
289,289,36C25923C0013,3600,0,$0,0%
290,290,GS11P13MAP0173,4740,,,
291,291,FA667018C0009,5700,Empty,Empty,Empty
292,292,47PD0119C0022,4740,,,
293,293,DACA6303C0015,2100,Empty,Empty,Empty
294,294,W91QV111C0056,2100,0,$0,0%
295,295,W9123815C0020,2100,Empty,Empty,Empty
296,296,70US0919C70090062,7009,,,
297,297,W9124M08C0056,2100,,,
298,298,VA247C0762,3600,Empty,Empty,Empty
299,299,W91B4N11C8034,2100,Empty,Empty,Empty
300,300,VA24917C0207,3600,,,
301,301,75N99020C00059,7529,,,
302,302,N6945014C2760,1700,Empty,Empty,Empty
303,303,N4425515C7029,1700,Empty,Empty,Empty
304,304,W912PL19C0037,2100,Empty,Empty,Empty
305,305,W912PL23C0028,2100,Empty,Empty,Empty
306,306,GS11P13MAC0194,4740,,,
307,307,W90WL512C0010,2100,Empty,Empty,Empty
308,308,VA24717C0156,3600,0,$0,0%
309,309,70Z0G124CABCD0002,7008,Empty,Empty,Empty
310,310,GS11P05YEC0100,4740,0,$0,0%
311,311,W9124719C0036,2100,,,
312,312,FA570615C0029,5700,Empty,Empty,Empty
313,313,GS06P10TNC0048,4740,Empty,Empty,Empty
314,314,W912JM07C0010,2100,0,$0,0%
315,315,W9126G14C0091,2100,0,$0,0%
316,316,VA258C0404,3600,Empty,Empty,Empty
317,317,GS09P17WNC0009,4740,,,
318,318,SAQMMA17C0325,1900,,,
319,319,W9128F08C0010,2100,0,$0,0%
320,320,VA25615C0121,3600,Empty,Empty,Empty
321,321,GS11P07YTC0259,4740,Empty,Empty,Empty
322,322,W912DR24C0034,2100,Empty,Empty,Empty
323,323,36C24924C0076,3600,,,
324,324,VA528C0759,3600,,,
325,325,W50S7020C0004,2100,,,
326,326,VA247C0497,3600,0,$0,0%
327,327,V648C479,3600,,,
328,328,GS11P15YMC0145,4740,0,$0,0%
329,329,DTCGG104C3WK082,7008,0,$0,0%
330,330,GS09P09WDC0027,4740,0,$0,0%
331,331,VA69DC1954,3600,,,
332,332,VA25612C0200,3600,,,
333,333,N6945014C6080,1700,Empty,Empty,Empty
334,334,W9124M14C0011,2100,0,$0,0%
335,335,VA25017C0148,3600,,,
336,336,AG95CV5095CV50200,12H2,Empty,Empty,Empty
337,337,GS08P06JBP3136,4740,,,
338,338,DOCSB134107CN0052,1341,0,$0,0%
339,339,GS09P07WDC0002,4740,0,$0,0%
340,340,N3319111C1723,1700,Empty,Empty,Empty
341,341,GS04P11EXC0188,4740,0,$0,0%
342,342,VA26113C0111,3600,0,$0,0%
343,343,36C24218C0049,3600,Empty,Empty,Empty
344,344,EPC07016,6800,0,$0,0%
345,345,FA283515C0016,5700,Empty,Empty,Empty
346,346,GS11P16YTC7182,4740,0,$0,0%
347,347,47PK0618C0018,4740,,,
348,348,75N99018C00013,7529,Empty,Empty,Empty
349,349,W50S6P23C0001,2100,,,
350,350,GS11P10YEC0211,4740,0,$0,0%
351,351,GS09P07WLC0011,4740,0,$0,0%
352,352,47PD0223C0012,4740,,,
353,353,W9128F10C0050,2100,0,$0,0%
354,354,GS07P11UKM0018,4740,0,$0,0%
355,355,GS11P16YTC7204,4740,,,
356,356,2032H323C00017,2001,Empty,Empty,Empty
357,357,N6945012C1262,1700,Empty,Empty,Empty
358,358,W912QR04C0013,2100,Empty,Empty,Empty
359,359,W5K9FH12C0184,2100,Empty,Empty,Empty
360,360,VA25613C0167,3600,Empty,Empty,Empty
361,361,W912DS23C0037,2100,Empty,Empty,Empty
362,362,75N99024C00075,7529,Empty,Empty,Empty
363,363,VA261C0019,3600,Empty,Empty,Empty
364,364,DOCSB134110CN0059,1341,Empty,Empty,Empty
365,365,W5K9FH12C0036,2100,Empty,Empty,Empty
366,366,GS09P16WBC7030,4740,Empty,Empty,Empty
367,367,GS08P04JBM0096,4740,Empty,Empty,Empty
368,368,N6247309C1840,1700,Empty,Empty,Empty
369,369,W917PM08C0058,2100,Empty,Empty,Empty
370,370,19AQMM22C0127,1900,Empty,Empty,Empty
371,371,GS11P14YEC0064,4740,Empty,Empty,Empty
372,372,W912HN05C0064,2100,Empty,Empty,Empty
373,373,W912QR09C0002,2100,Empty,Empty,Empty
374,374,VA25617C0077,3600,Empty,Empty,Empty
375,375,47PF0021C0029,4740,Empty,Empty,Empty
376,376,N4008009C4461,1700,Empty,Empty,Empty
377,377,W9136417C0002,2100,Empty,Empty,Empty
378,378,47PM1018C0035,4740,Empty,Empty,Empty
379,379,W9136409C0008,2100,Empty,Empty,Empty
380,380,697DCK18C00336,6920,Empty,Empty,Empty
381,381,VA539C0022,3600,Empty,Empty,Empty
382,382,INR08CC408246,1425,Empty,Empty,Empty
383,383,36C25820C0030,3600,Empty,Empty,Empty
384,384,W917BG06C0130,2100,Empty,Empty,Empty
385,385,W912EK20C0057,2100,Empty,Empty,Empty
386,386,GS10P05LTC0018,4740,Empty,Empty,Empty
387,387,W5K9FH11C0109,2100,Empty,Empty,Empty
388,388,36C25020C0156,3600,Empty,Empty,Empty
389,389,JB000200305DGS08P03JBD0070,4740,Empty,Empty,Empty
390,390,N6247002C2032,1700,Empty,Empty,Empty
391,391,GS05P05SIC0117,4740,Empty,Empty,Empty
392,392,36C25819C0081,3600,Empty,Empty,Empty
393,393,VA259C0365,3600,Empty,Empty,Empty
394,394,GS11P06YEC0222,4740,Empty,Empty,Empty
395,395,W5J9JE11C0100,2100,Empty,Empty,Empty
396,396,VA24814C0120,3600,Empty,Empty,Empty
397,397,47PG0918C0004,4740,Empty,Empty,Empty
398,398,VA250R0399,3600,Empty,Empty,Empty
399,399,VA52812C0191,3600,Empty,Empty,Empty
400,400,GS11P12NWC0052,4740,Empty,Empty,Empty
401,401,VA70113C0047,3600,Empty,Empty,Empty
402,402,GS11P14YEC0019,4740,Empty,Empty,Empty
403,403,47PM0520C0003,4740,Empty,Empty,Empty
404,404,W912KZ18C5001,2100,Empty,Empty,Empty
405,405,HSCG4108NQWY034,7008,Empty,Empty,Empty
406,406,W912JD12C0002,2100,Empty,Empty,Empty
407,407,W912DS13C0011,2100,Empty,Empty,Empty
408,408,W912P817C0029,2100,Empty,Empty,Empty
409,409,W912DS16C0005,2100,Empty,Empty,Empty
410,410,FA252110C0037,5700,Empty,Empty,Empty
411,411,DACA3103C0026,2100,Empty,Empty,Empty
412,412,36C24421C0065,3600,Empty,Empty,Empty
413,413,F0960903C0013,5700,Empty,Empty,Empty
414,414,VA24412C0473,3600,Empty,Empty,Empty
415,415,GS11P15YTC0274,4740,,,
416,416,DTCG8304C3YD011,7008,Empty,Empty,Empty
417,417,GS04P10EXC0154,4740,Empty,Empty,Empty
418,418,W912PQ08C0021,2100,Empty,Empty,Empty
419,419,47PM1020C0019,4740,Empty,Empty,Empty
420,420,W9124720C0018,2100,,,
421,421,W912JM07C0014,2100,,,
422,422,VA250RA0520,3600,Empty,Empty,Empty
423,423,GS05P04SAC0733,4740,0,$0,0%
424,424,VA260P0660,3600,,,
425,425,47PK1518C0030,4740,,,
426,426,140P2120C0022,1443,,,
427,427,47PF0021C0019,4740,Empty,Empty,Empty
428,428,VA257C0566,3600,0,$0,0%
429,429,36C25723C0050,3600,,,
430,430,W9124Q06C0162,2100,Empty,Empty,Empty
431,431,N6945009C4130,1700,Empty,Empty,Empty
432,432,W911S112C0043,2100,Empty,Empty,Empty
433,433,HHSI24620060003C,7527,Empty,Empty,Empty
434,434,W912DS20C0009,2100,Empty,Empty,Empty
435,435,W9126G23C0015,2100,Empty,Empty,Empty
436,436,W912QR16C0011,2100,Empty,Empty,Empty
437,437,GS11P09YTC0180,4740,0,$0,0%
438,438,140P1318D0003,1443,Empty,Empty,Empty
439,439,75N99020C00065,7529,Empty,Empty,Empty
440,440,ZG000200308DGS11P03ZGC0246,4740,0,$0,0%
441,441,VA251C0161,3600,Empty,Empty,Empty
442,442,GS06P13TBC0004,4740,0,$0,0%
443,443,VA251C0294,3600,0,$0,0%
444,444,36C25819C0137,3600,0,$0,0%
445,445,36C77623C0164,3600,Empty,Empty,Empty
446,446,W912CN10C0082,2100,0,$0,0%
447,447,GS11P05YTC0046,4740,Empty,Empty,Empty
448,448,GS09P10WLC0013,4740,0,$0,0%
449,449,VA256C0641,3600,0,$0,0%
450,450,W912EP15C0024,2100,Empty,Empty,Empty
451,451,GS05P11FBC0033,4740,Empty,Empty,Empty
452,452,W912DR07C0069,2100,Empty,Empty,Empty
453,453,47PM0719C0008,4740,Empty,Empty,Empty
454,454,GS07P13UKP0027,4740,Empty,Empty,Empty
455,455,47PH0421C0001,4740,Empty,Empty,Empty
456,456,36C24219C0022,3600,Empty,Empty,Empty
457,457,VA69DC0585,3600,Empty,Empty,Empty
458,458,W911SA14C0002,2100,Empty,Empty,Empty
459,459,70B01C23C00000130,7014,,,
460,460,FA282306C0087,5700,Empty,Empty,Empty
461,461,VA263C1268,3600,,,
462,462,INP11PC51179,1443,0,$0,0%
463,463,W91B4N11C8026,2100,0,$0,0%
464,464,W912DY15C0074,2100,,,
465,465,36C24919C0186,3600,,,
466,466,GS04P09EXC0086,4740,0,$0,0%
467,467,VA248C1244,3600,Empty,Empty,Empty
468,468,47PE0521C0006,4740,,,
469,469,VA255C1161,3600,,,
470,470,W91B4L10C0135,2100,0,$0,0%
471,471,SAQMMA17C0319,1900,,,
472,472,VA25611C1346,3600,0,$0,0%
473,473,HSCG8212CPMV008,7008,0,$0,0%
474,474,W912L114C0020,2100,,,
475,475,N3319117C1224,1700,Empty,Empty,Empty
476,476,TMHQ12C0049,2044,0,$0,0%
477,477,DACA6703C0207,2100,0,$0,0%
478,478,VA24512C0037,3600,Empty,Empty,Empty
479,479,30211200305DJ30211C027,1540,,,
480,480,GS05P09SLC0005,4740,0,$0,0%
481,481,140L1722C0016,1422,,,
482,482,W911YN11C1007,2100,0,$0,0%
483,483,FA890319C0003,5700,Empty,Empty,Empty
484,484,VA24312C0135,3600,,,
485,485,AG32SDC160033,12H2,,,
486,486,FA481922C0014,5700,Empty,Empty,Empty
487,487,W917BK05C0063,2100,Empty,Empty,Empty
488,488,W912DR15C0048,2100,Empty,Empty,Empty
489,489,N6927203C0013,1700,Empty,Empty,Empty
490,490,AG32SDC160035,12H2,,,
491,491,VA257C0062,3600,0,$0,0%
492,492,75H71322C00001,7527,0,$0,0%
493,493,W9123817C0015,2100,0,$0,0%
494,494,SALMEC04C0035,1900,,,
495,495,V605C7710,3600,Empty,Empty,Empty
496,496,V541C765,3600,Empty,Empty,Empty
497,497,FA281608C0007,5700,Empty,Empty,Empty
498,498,HHSF223201710213C,7524,Empty,Empty,Empty
499,499,36C25023C0201,3600,Empty,Empty,Empty
500,500,VA650C10383,3600,Empty,Empty,Empty
501,501,INR13PC20211,1425,Empty,Empty,Empty
502,502,W911YP13C2200,2100,Empty,Empty,Empty
503,503,W91QV119C0129,2100,Empty,Empty,Empty
504,504,VA251C0179,3600,Empty,Empty,Empty
505,505,V255C589A70352,3600,Empty,Empty,Empty
506,506,W52P1J18C5013,2100,Empty,Empty,Empty
507,507,140F0419C0002,1448,Empty,Empty,Empty
508,508,V756C01208A,3600,Empty,Empty,Empty
509,509,W917BE09C0023,2100,Empty,Empty,Empty
510,510,AG0489C100409,12C2,Empty,Empty,Empty
511,511,GS00P13CYC0064,4740,Empty,Empty,Empty
512,512,GS11P14ZGP0311,4740,Empty,Empty,Empty
513,513,W5J9JE12C0135,2100,Empty,Empty,Empty
514,514,FA281618C0005,5700,Empty,Empty,Empty
515,515,W50S8U22C0002,2100,Empty,Empty,Empty
516,516,V246C00201,3600,Empty,Empty,Empty
517,517,FA500009C0010,5700,Empty,Empty,Empty
518,518,FA468606C0005,5700,Empty,Empty,Empty
519,519,W91B4L16CRP00,2100,Empty,Empty,Empty
520,520,W5K9ZM10C0006,2100,Empty,Empty,Empty
521,521,W9128F08C0030,2100,Empty,Empty,Empty
522,522,VA247C0978,3600,Empty,Empty,Empty
523,523,W912HN10C0072,2100,Empty,Empty,Empty
524,524,GS10P13XCC0009,4740,Empty,Empty,Empty
525,525,W911S711C0038,2100,Empty,Empty,Empty
526,526,GS05P05GAC0009,4740,Empty,Empty,Empty
527,527,W912ER13C0027,2100,Empty,Empty,Empty
528,528,36C25023C0177,3600,Empty,Empty,Empty
529,529,140D0419C0103,1406,Empty,Empty,Empty
530,530,W91B4M09C7056,2100,Empty,Empty,Empty
531,531,GS08P10JBC0007,4740,Empty,Empty,Empty
532,532,N4008007C0521,1700,Empty,Empty,Empty
533,533,GS07P11HHC0003,4740,Empty,Empty,Empty
534,534,FA452811C3025,5700,Empty,Empty,Empty
535,535,VA241RA1994,3600,Empty,Empty,Empty
536,536,GS04P10EXC0162,4740,Empty,Empty,Empty
