,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
7189,W917BK07C0004,2100,Empty,Empty,Empty
7190,36C77624C0158,3600,0,$0,0%
7191,GS08P13JAC0007,4740,Empty,Empty,Empty
7192,W912KZ19C5002,2100,,,
7193,N0042124C0045,1700,Empty,Empty,Empty
7194,VA260C0059,3600,0,$0,0%
7195,VA101C0004,3600,0,$0,0%
7196,TOS09016,2001,0,$0,0%
7197,W50S8T20C0004,2100,,,
7198,W912ER09C0052,2100,0,$0,0%
7199,GS04P09RAC0100,4740,0,$0,0%
7200,W9124722C0108,2100,0,$0,0%
7201,F0536CW10207,3300,0,$0,0%
7202,GS09P09WBC0013,4740,,,
7203,W912LA11C6002,2100,Empty,Empty,Empty
7204,GS02P10PVC0061,4740,Empty,Empty,Empty
7205,GS04P15EXC0227,4740,0,$0,0%
7206,70Z08720CPJT83500,7008,,,
7207,GS11P16MAC7114,4740,,,
7208,VA259C0192,3600,0,$0,0%
7209,V691C7711,3600,0,$0,0%
7210,W912LA19C8005,2100,Empty,Empty,Empty
7211,W5J9JE11C0160,2100,Empty,Empty,Empty
7212,W5J9JE11C0124,2100,Empty,Empty,Empty
7213,VA25717C0127,3600,Empty,Empty,Empty
7214,36C25921C0053,3600,Empty,Empty,Empty
7215,VA244C1089,3600,0,$0,0%
7216,DEAC2604NT42292,8900,0,$0,0%
7217,VA24814C0109,3600,0,$0,0%
7218,75N99023C00019,7529,,,
7219,W912DY23C0050,2100,Empty,Empty,Empty
7220,VA24412C0407,3600,,,
7221,VA250C0686,3600,0,$0,0%
7222,TPDAFRH08C0001,2036,,,
7223,INPC3000060035,1443,0,$0,0%
7224,SKS70009C0967,1900,0,$0,0%
7225,75N99024C00071,7529,,,
7226,W912HN06C0063,2100,0,$0,0%
7227,W9123815C0016,2100,0,$0,0%
7228,GS11P16YMC7183,4740,,,
7229,GS02P16PEC7015,4740,0,$0,0%
7230,36C24219C0232,3600,0,$0,0%
7231,DABK0103C0011,2100,0,$0,0%
7232,DOCWC133C07CN0347,1330,0,$0,0%
7233,VA24712C0100,3600,,,
7234,GS08P08JBP0110,4740,,,
7235,FA665620C0002,5700,Empty,Empty,Empty
7236,N6945011C3619,1700,Empty,Empty,Empty
7237,W912DR05C0026,2100,0,$0,0%
7238,W9124Q07C0768,2100,0,$0,0%
7239,GS11P08YTC0228,4740,,,
7240,DOLETA16C0090,1630,Empty,Empty,Empty
7241,VA251C1042,3600,0,$0,0%
7242,VA25913C0175,3600,0,$0,0%
7243,GS05P07FBC0057,4740,Empty,Empty,Empty
7244,GS05P04SKC0011,4740,Empty,Empty,Empty
7245,36C24918C0052,3600,,,
7246,36C26222C0143,3600,0,$0,0%
7247,FA302222C0012,5700,Empty,Empty,Empty
7248,75D30123C16485,7523,,,
7249,W911SG14C0025,2100,0,$0,0%
7250,W9128F09C0024,2100,0,$0,0%
7251,V595C652,3600,0,$0,0%
7252,W9126G16C0108,2100,0,$0,0%
7253,36E77618C0033,3600,Empty,Empty,Empty
7254,FA281607C0010,5700,Empty,Empty,Empty
7255,W9126G10C0070,2100,Empty,Empty,Empty
7256,VA24312C0121,3600,Empty,Empty,Empty
7257,47PK0918C0015,4740,Empty,Empty,Empty
7258,VA256P1358,3600,Empty,Empty,Empty
7259,W912DR20C0064,2100,Empty,Empty,Empty
7260,W912JM10C0005,2100,Empty,Empty,Empty
7261,GS11P17MAC0013,4740,Empty,Empty,Empty
7262,SAQMMA11C0147,1900,Empty,Empty,Empty
7263,47PJ0019C0088,4740,Empty,Empty,Empty
7264,INF301817C034,1448,Empty,Empty,Empty
7265,GS11P09YTC0477,4740,Empty,Empty,Empty
7266,W912PL18C0019,2100,Empty,Empty,Empty
7267,FA301616C0063,5700,Empty,Empty,Empty
7268,W917BK06C0037,2100,Empty,Empty,Empty
7269,GS09P05KTC0045,4740,Empty,Empty,Empty
7270,HSCGG108C3WK005,7008,Empty,Empty,Empty
7271,47PF0018C0008,4740,Empty,Empty,Empty
7272,36C26023C0012,3600,Empty,Empty,Empty
7273,HSCG8310CPTS009,7008,0,$0,0%
7274,VA24412C0307,3600,0,$0,0%
7275,47PF0018C0026,4740,0,$0,0%
7276,N4008509C7042,1700,Empty,Empty,Empty
7277,FA282304C3024,5700,Empty,Empty,Empty
7278,36C25022C0180,3600,0,$0,0%
7279,N6247311C4203,1700,Empty,Empty,Empty
7280,32KW200309D5032KW03010,12K3,0,$0,0%
7281,W912JM19C6004,2100,,,
7282,2032H320C00026,2001,,,
7283,GS11P08YTC0175,4740,0,$0,0%
7284,W91B4K09C4031,2100,0,$0,0%
7285,1240LT24C0004,12C2,,,
7286,VA24517C0157,3600,0,$0,0%
7287,70B01C24C00000066,7014,,,
7288,47PK1722C0019,4740,,,
7289,W912JB16C9008,2100,0,$0,0%
7290,V69DC7828A,3600,Empty,Empty,Empty
7291,V69DC814,3600,0,$0,0%
7292,N6945011C7328,1700,Empty,Empty,Empty
7293,36C24221C0017,3600,0,$0,0%
7294,INICABQ7080014,1450,0,$0,0%
7295,GS02P05PLC3021,4740,0,$0,0%
7296,INPC1590090003,1443,0,$0,0%
7297,DOCSB134110CN0144,1341,0,$0,0%
7298,FA302219C0002,5700,Empty,Empty,Empty
7299,GS09P05WMC0037,4740,0,$0,0%
7300,VA256C0397,3600,0,$0,0%
7301,GS11P12YTC0305,4740,0,$0,0%
7302,47PM1018C0056,4740,,,
7303,GS04P06EWC0028,4740,0,$0,0%
7304,W9126G07C0052,2100,0,$0,0%
