Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
DOLJ051A20003,236220,2004-12-14,1630,Y119,Midwest,NJ9KBF5NDLF1,3491000,9,171578,Open,""
N6945024C0090,236220,2024-09-13,1700,Y1AZ,Southeast,P9B9FM196LE6,1170800,0,0,Restricted,1
N4425514C5006,236220,2014-09-29,1700,Y1BZ,West,NE61LN4FM1A5,20995000,20,4132945,Open,19
N4008515C9355,236220,2015-09-20,1700,Z1FB,Southeast,MB5DNJLJBAN4,363702,0,0,Restricted,1
N4008013C2101,236220,2013-09-29,1700,Z2AA,Southeast,EPQLQG38JBZ1,230190,1,0,Open,1
N6945024C0068,236220,2024-08-29,1700,Z2FB,Southeast,EWCVAZ6F1M16,1899537,0,0,Restricted,1
N4008513C6003,236220,2013-06-10,1700,Y1DZ,Southeast,ZJUSAVJJQMK5,14354000,10,1199475,Open,9
N6247317C0802,236220,2016-11-07,1700,Z2AZ,West,S816XZESSNB9,1521076,3,131949,Restricted,1
N4008520C0057,236220,2020-09-25,1700,Y1JZ,Midwest,CW6KVXNYH7P7,10440400,11,7408184,Open,4
DOLJ094R22441,236220,2009-02-13,1645,Z119,Southeast,WCU4TE2ACKJ3,7808,4,91523,Open,""
N6247310C1803,236220,2010-03-30,1700,Z299,West,CM6AAWP8H6Y4,569634,4,206902,Restricted,1
SP470218C0524,236220,2018-09-27,97AS,Z2AA,Midwest,LRGBFJFA6M89,1741007,8,478480,Open,5
N6246703C2042,236220,2003-09-24,1700,Z119,Southeast,X17BRZLBN766,262074,0,0,Restricted,1
N4008506C0759,236220,2006-09-22,1700,Z119,West,LELBHQ88UMK9,2242852,7,143194,Restricted,1
W912WJ09C0008,236220,2009-09-25,2100,Y199,Northeast,FTJMEJQCG4L5,792000,6,859326,Open,""
N4008008C2062,236220,2008-09-30,1700,Z199,Southeast,L4DPDT899T69,3500000,4,1000748,Restricted,1
SP470220C0020,236220,2020-09-25,97AS,Z2PA,Midwest,DRLTAXYFZBK8,949470,0,0,Open,1
N6945018C5217,236220,2018-06-06,1700,Z2PA,Southeast,MNK3CH3L4UJ7,805798,2,167064,Restricted,1
N6247317C3201,236220,2017-05-03,1700,Z2PZ,West,Y4MNS7V31HJ5,398598,0,0,Restricted,1
N6945013C1756,236220,2013-06-14,1700,Y1DA,Midwest,DMFWBVTL9324,38743915,57,6411932,Open,6
N4008018C3519,236220,2018-09-27,1700,Z1JZ,Midwest,CK9WP3X6GR34,453575,2,0,Open,7
HQ009505C0011,236220,2005-03-30,97F5,Z111,Southeast,QA3KLDNBMEL3,4870,0,0,Open,2
N6945011C3065,236220,2011-06-15,1700,Z199,Southwest,H4HBEYUCZ7M1,1492468,4,80837,Restricted,1
N6945015C6528,236220,2015-08-28,1700,Z2FC,Southeast,EQUGGRN48HG5,931737,1,126449,Restricted,1
N6660422C0230,236220,2022-09-19,1700,Z2GZ,Northeast,DEZJJRF8KHH3,249976,0,0,Open,4
N6945011C0017,236220,2011-03-02,1700,Y199,Midwest,MKK2BDD6PZ55,2042586,6,270568,Open,5
N6246705C9385,236220,2005-09-29,1700,Z111,Southwest,EMENK25ECJD6,100346,0,0,Restricted,1
N4008005C0518,236220,2005-09-29,1700,Z199,Southeast,NEJLJ5ACF7S5,237682,3,0,Restricted,1
N4008520C0071,236220,2020-09-21,1700,Y1JZ,Northeast,NN9SLYYNWKK5,11213400,8,2984902,Open,3
FA910111C0047,236220,2011-09-30,5700,Y174,Southeast,CBFHMSK95VT9,571200,6,32511,Open,""
N6945007C3616,236220,2007-09-25,1700,Z219,Southeast,T68JMNDFHXM6,12800,0,0,Open,1
N6945008C5579,236220,2008-09-30,1700,Z111,Southeast,GRUVBCL86B39,379817,3,138,Restricted,1
HQ003414C0063,236220,2014-09-25,97F5,5680,Southeast,LZVZCLZHD294,962192,3,36865,Restricted,1
DOLJ109630287,236220,2010-05-14,1605,Y119,Midwest,CZHMR29JV5G7,1245741,0,0,Open,""
N6247202C5514,236220,2003-06-24,1700,Z179,Northeast,HXMJA2V68HC3,2998000,0,0,Restricted,1
N4008520C0058,236220,2020-09-30,1700,Z2JZ,Northeast,SPW8KTH63M65,847362,0,0,Restricted,1
N6247307C7024,236220,2007-09-21,1700,Z141,West,XL1HXLG5L2G8,619456,2,35759,Restricted,1
N4008015C3512,236220,2015-03-31,1700,Z1NZ,West,MMGCM41SK155,1761856,3,46728,Restricted,1
N6247004C2629,236220,2004-09-23,1700,Z119,Southeast,LMRMKLLL3LG5,730000,12,858330,Open,1
N6945017C5613,236220,2017-05-25,1700,Z2AA,Southeast,E3RAXP8YLQE3,1982096,3,415711,Restricted,1
1630DC17C0012,236220,2017-05-26,1630,C1AZ,Southeast,QJB7NSFMHC61,59714676,1,59714676,Open,""
N4008509C9408,236220,2009-06-30,1700,Z159,Northeast,FTJMEJQCG4L5,4057000,1,47000,Open,11
N4008014C2033,236220,2014-08-25,1700,Z2AA,Southeast,T4KABN8LU4K6,985471,0,0,Restricted,1
N6945010C4132,236220,2010-09-17,1700,Z141,Southeast,GACDYTNJEB26,651996,3,0,Restricted,1
N4008509C0044,236220,2009-09-25,1700,Y199,Southeast,PVT3WNNG7836,436098,3,30006,Restricted,1
N0042124C0088,236220,2024-09-27,1700,Z2AA,Southeast,PMWJHM3WMZK3,4930535,0,0,Restricted,1
DOLJ041A00012,236220,2004-05-28,1630,Y299,Northeast,EATDZJL6JFJ5,1257000,0,0,Open,""
N6945020C0058,236220,2020-08-28,1700,Z2GZ,Southeast,H2ZDMKZLM472,572266,0,0,Restricted,1
N4008012C2015,236220,2012-06-20,1700,Z1JZ,Southeast,VS2KERR6U3K3,129186,4,0,Open,1
N4008516C7710,236220,2016-09-08,1700,Z1AZ,Southeast,V5NWWR9UUJR8,1664121,2,9036,Restricted,1
N3654A08C1004,236220,2008-04-06,1700,C119,Southeast,LN9PU5M2YZN5,22080,1,1051,Open,6
DOLJ061A20388,236220,2006-06-30,1630,Y139,Southeast,MGMKEJ19PET7,1828926,1,73970,Open,""
N4008005C0514,236220,2005-09-20,1700,Y162,Southeast,CYYKPGB57QK5,1200000,6,47270,Restricted,1
N6945007C0062,236220,2007-07-03,1700,Y199,Southeast,NS3XKMA3JWY7,56911894,44,7320895,Open,5
N6246702C0503,236220,2003-07-14,1700,Y152,Southeast,RRKASFUKYMJ4,6323325,13,262692,Open,13
N6945016C4440,236220,2016-09-14,1700,Z2DA,Southeast,HUZ2XKV2KLS5,371162,0,0,Restricted,1
N4008009C4414,236220,2009-09-30,1700,Z199,Southeast,UJJZKMAZJNJ7,3538842,2,744598,Restricted,1
N4008518C6151,236220,2018-06-15,1700,Z2FC,West,Q619XATRSXM9,7088563,5,500745,Open,9
N6246706C5748,236220,2006-04-20,1700,Z111,Southeast,GDMSR4G5NW61,434953,1,32682,Restricted,1
N4008311C1006,236220,2011-07-28,1700,Y119,Southeast,E1PVEGGV5TF7,4024041,10,175382,Restricted,1
N6247203C6117,236220,2004-09-02,1700,Z199,Southwest,HE7KKMMCLDW1,445940,1,5497,Open,6
N6945011C0027,236220,2011-03-02,1700,Y199,Southwest,F1PMZXNJ7NM5,2296315,3,5580,Open,4
N6945013C2259,236220,2013-07-02,1700,Y1EZ,Southeast,WJB1ESJY6JM6,392550,1,5400,Restricted,1
N6247704C0018,236220,2005-08-18,1700,Y241,West,UHRCB94R44E9,0,14,514446,Open,8
N4008515C3816,236220,2015-07-01,1700,Z2JZ,Midwest,J6VLQ2NG6JZ5,6723,2,111081,Restricted,1
HQ003413C0133,236220,2013-09-30,97F5,5680,Southeast,KW9NCQ8W64S4,9669575,15,4870638,Restricted,1
N4008012C2503,236220,2011-11-04,1700,Y1ND,Southeast,FTAFWBSNSWC1,1990125,2,0,Restricted,1
N6945011C4582,236220,2011-09-30,1700,Z199,Southeast,LJNGSKQXAME9,1120000,1,0,Restricted,1
N0017422C0015,236220,2022-09-21,1700,Z2JZ,Southeast,K1X3AGMLFCJ3,987237,1,0,Open,1
N6945010C4336,236220,2010-09-30,1700,Z119,Southeast,QPY1WK62X2A3,251260,0,0,Restricted,1
N4008309C1006,236220,2009-05-29,1700,C111,West,D421NV15P5D3,1708760,5,524497,Restricted,1
N6247324C0254,236220,2024-09-13,1700,Z2GZ,Southeast,CFLYNRZKKLR3,485008,0,0,Restricted,1
N6247316C0414,236220,2016-09-01,1700,Z2PA,West,K59MKTUMMMG5,639866,2,34862,Open,1
N6247306C5278,236220,2006-09-28,1700,Z149,Southwest,M33BEJNEAM44,521093,2,0,Restricted,1
N6246706C5721,236220,2006-06-16,1700,Z299,Southeast,HCUDMENM7KK5,546075,2,500,Restricted,1
N0042123C0034,236220,2023-07-18,1700,Z2AA,Southeast,VUR8QKPP8NY3,385792,0,0,Restricted,1
N6945007C1266,236220,2007-06-29,1700,Y119,Southeast,F58ABW7WBAV7,4377400,3,21736,Open,6
N6247308C7820,236220,2008-09-18,1700,Z299,West,S1F4QN9HB2F7,1144039,1,0,Restricted,1
1630DC19C0014,236220,2019-06-25,1630,C1KZ,Southeast,DQ5NYJWS6GL5,325900,4,30199,Open,""
N6247311C1012,236220,2011-07-29,1700,Z199,West,CM6AAWP8H6Y4,1362126,1,9617,Restricted,1
N6945019C7212,236220,2019-06-13,1700,Z2AZ,Southeast,PLJWCYJNQ8X5,225770,1,28613,Restricted,1
DOLJ051A20011,236220,2005-01-14,1630,Y139,Northeast,FYF1DNQHJV64,5784887,6,500103,Open,""
N6945015C4124,236220,2015-03-03,1700,Z2JZ,Southeast,F7AVTSKG5AK8,247775,0,0,Restricted,1
N4008506C0735,236220,2006-07-31,1700,Z299,Southeast,JH8BDPD1DG47,782091,3,35900,Restricted,1
N6945012C6350,236220,2011-12-01,1700,Z1FD,Southeast,E8MCAKAVZ8C4,4390751,4,267193,Restricted,1
