Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
NNM16AA11C,8000,Empty,Empty,Empty
VA26316C0101,3600,Empty,Empty,Empty
N0042122C0029,1700,Empty,Empty,Empty
12854419C0010,12C2,Empty,Empty,Empty
36C24618C0079,3600,Empty,Empty,Empty
W9123622C2023,2100,Empty,Empty,Empty
W912DW23C0006,2100,Empty,Empty,Empty
W9123623C5014,2100,Empty,Empty,Empty
36C24224C0051,3600,Empty,Empty,Empty
FA460818C0008,5700,Empty,Empty,Empty
W912CL09C0012,2100,Empty,Empty,Empty
2032H321C00009,2001,Empty,Empty,Empty
140L5720C0007,1422,Empty,Empty,Empty
VA263C0012,3600,Empty,Empty,Empty
GS11P17NWC0038,4740,Empty,Empty,Empty
140P8219C0008,1443,Empty,Empty,Empty
W912DY22C0044,2100,Empty,Empty,Empty
36C24923C0033,3600,Empty,Empty,Empty
GS03P05CDC0040,4740,Empty,Empty,Empty
GS11P16MKC7116,4740,Empty,Empty,Empty
GS09P07WNC0040,4740,Empty,Empty,Empty
47PK0118C0004,4740,Empty,Empty,Empty
FA465916CC002,5700,Empty,Empty,Empty
N4008516C4414,1700,Empty,Empty,Empty
FA301022C0033,5700,Empty,Empty,Empty
N0042122C0051,1700,Empty,Empty,Empty
N6247311C4214,1700,Empty,Empty,Empty
SP470211C0029,97AS,Empty,Empty,Empty
MDA94703C0014,97F5,Empty,Empty,Empty
VA25914C0306,3600,Empty,Empty,Empty
70Z02822CMIAM0007,7008,Empty,Empty,Empty
36C25022C0098,3600,Empty,Empty,Empty
W912JM16C0028,2100,Empty,Empty,Empty
N6247003C1953,1700,Empty,Empty,Empty
VA69D16C0232,3600,Empty,Empty,Empty
00552200309DV552C10898A,3600,Empty,Empty,Empty
47PK1519C0036,4740,Empty,Empty,Empty
47PK1919C0015,4740,Empty,Empty,Empty
DJBCOB42D20012,1540,Empty,Empty,Empty
SAQMMA07C0064,1900,Empty,Empty,Empty
47PE0518C0012,4740,Empty,Empty,Empty
W9127N06C0039,2100,Empty,Empty,Empty
W912C610C0009,2100,Empty,Empty,Empty
47PB0618C0015,4740,Empty,Empty,Empty
W917BG05C0021,2100,Empty,Empty,Empty
FA466418C0007,5700,Empty,Empty,Empty
36C24921C0025,3600,Empty,Empty,Empty
VA262C0163,3600,Empty,Empty,Empty
VA262C0382,3600,Empty,Empty,Empty
DOCSB134105C0001,1341,Empty,Empty,Empty
1333ND23CNB190027,1341,Empty,Empty,Empty
75N99024C00029,7529,Empty,Empty,Empty
W912QR12C0019,2100,Empty,Empty,Empty
00243200305DV10N3C2358A,3600,Empty,Empty,Empty
FA441913C0105,5700,Empty,Empty,Empty
W5J9LE12C0038,2100,Empty,Empty,Empty
1305M324C0054,1330,Empty,Empty,Empty
GS04P05RAC0003,4740,Empty,Empty,Empty
47PK1519C0031,4740,Empty,Empty,Empty
W912QR11C0009,2100,Empty,Empty,Empty
47PM0423C0009,4740,Empty,Empty,Empty
V649C379,3600,Empty,Empty,Empty
N6945010C4586,1700,Empty,Empty,Empty
N4008516C4621,1700,Empty,Empty,Empty
N4008506C0754,1700,Empty,Empty,Empty
VA248C1257,3600,Empty,Empty,Empty
47PL0118C0028,4740,Empty,Empty,Empty
HSFE2012C0364,7022,Empty,Empty,Empty
W91ZRU08C0008,2100,Empty,Empty,Empty
N6247309C2024,1700,Empty,Empty,Empty
FA452818C0005,5700,Empty,Empty,Empty
FA252124C0021,5700,Empty,Empty,Empty
GS03P16AZC7007,4740,Empty,Empty,Empty
FA480923C0007,5700,Empty,Empty,Empty
GS03P09QMC0069,4740,Empty,Empty,Empty
GS11P04YEC0135,4740,Empty,Empty,Empty
W5K9FH13C0033,2100,Empty,Empty,Empty
FA441703C0002,5700,Empty,Empty,Empty
FA448806C0018,5700,Empty,Empty,Empty
V605C05018A,3600,Empty,Empty,Empty
N6246706C5744,1700,Empty,Empty,Empty
FA485517C0013,5700,Empty,Empty,Empty
36C77621C0058,3600,Empty,Empty,Empty
W9127819C0037,2100,Empty,Empty,Empty
W5J9JE12C0088,2100,Empty,Empty,Empty
HHSD200200514690C,7523,Empty,Empty,Empty
FA486119CA006,5700,Empty,Empty,Empty
47PK0119C0004,4740,Empty,Empty,Empty
36C24922C0070,3600,Empty,Empty,Empty
GS04P07EXC0139,4740,Empty,Empty,Empty
36C25922C0061,3600,Empty,Empty,Empty
W91GFL10C0016,2100,Empty,Empty,Empty
W9124711C0040,2100,Empty,Empty,Empty
